Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Payment_Method,Returned,Gross_Sales,Discount_Amount,Net_Sales
O00039,2025-01-05 03:25:40.388077615,C0354,Tablet,Electronics,North,5,30000,0.0,Credit Card,No,150000,0.0,150000.0
O00040,2025-01-05 06:02:39.871974394,C0359,Mouse,Accessories,South,2,800,0.15,Cash,No,1600,240.0,1360.0
O00041,2025-01-05 08:39:39.355871174,C0107,Smartphone,Electronics,West,1,40000,0.0,Credit Card,No,40000,0.0,40000.0
O00042,2025-01-05 11:16:38.839767953,C0091,Headphones,Accessories,East,5,2500,0.05,Debit Card,No,12500,625.0,11875.0
O00043,2025-01-05 13:53:38.323664732,C0277,Headphones,Accessories,North,3,2500,0.15,Cash,No,7500,1125.0,6375.0
O00044,2025-01-05 16:30:37.807561512,C0368,Mouse,Accessories,North,3,800,0.0,UPI,No,2400,0.0,2400.0
O00045,2025-01-05 19:07:37.291458291,C0455,Monitor,Electronics,East,3,15000,0.0,Cash,No,45000,0.0,45000.0
O00046,2025-01-05 21:44:36.775355071,C0206,Webcam,Accessories,West,1,3500,0.05,Credit Card,No,3500,175.0,3325.0
O00047,2025-01-06 00:21:36.259251850,C0354,Mouse,Accessories,West,3,800,0.1,Credit Card,No,2400,240.0,2160.0
O00048,2025-01-06 02:58:35.743148629,C0252,Headphones,Accessories,North,1,2500,0.1,Cash,No,2500,250.0,2250.0
O00049,2025-01-06 05:35:35.227045409,C0115,Headphones,Accessories,East,4,2500,0.15,Debit Card,Yes,10000,1500.0,8500.0
O00050,2025-01-06 08:12:34.710942188,C0478,Laptop,Electronics,West,1,65000,0.1,UPI,No,65000,6500.0,58500.0
O00051,2025-01-06 10:49:34.194838967,C0244,Laptop,Electronics,South,5,65000,0.1,UPI,No,325000,32500.0,292500.0
O00052,2025-01-06 13:26:33.678735747,C0231,Monitor,Electronics,East,1,15000,0.05,Debit Card,No,15000,750.0,14250.0
O00053,2025-01-06 16:03:33.162632526,C0078,Smartphone,Electronics,North,1,40000,0.05,Cash,No,40000,2000.0,38000.0
O00054,2025-01-06 18:40:32.646529305,C0189,Laptop,Electronics,West,5,65000,0.1,Debit Card,No,325000,32500.0,292500.0
O00055,2025-01-06 21:17:32.130426085,C0466,Keyboard,Accessories,South,2,2000,0.0,UPI,No,4000,0.0,4000.0
O00056,2025-01-06 23:54:31.614322864,C0426,Keyboard,Accessories,West,4,2000,0.15,Cash,No,8000,1200.0,6800.0
O00057,2025-01-07 02:31:31.098219643,C0175,Smartphone,Electronics,West,5,40000,0.15,Credit Card,Yes,200000,30000.0,170000.0
O00058,2025-01-07 05:08:30.582116423,C0492,Laptop,Electronics,North,5,65000,0.15,Cash,Yes,325000,48750.0,276250.0
O00059,2025-01-07 07:45:30.066013202,C0393,Monitor,Electronics,East,5,15000,0.0,Debit Card,No,75000,0.0,75000.0
O00060,2025-01-07 10:22:29.549909982,C0309,Keyboard,Accessories,West,2,2000,0.15,Credit Card,No,4000,600.0,3400.0
O00061,2025-01-07 12:59:29.033806761,C0058,Smartphone,Electronics,North,4,40000,0.0,Debit Card,No,160000,0.0,160000.0
O00062,2025-01-07 15:36:28.517703540,C0123,Monitor,Electronics,North,1,15000,0.0,Debit Card,No,15000,0.0,15000.0
O00063,2025-01-07 18:13:28.001600320,C0425,Monitor,Electronics,West,3,15000,0.05,Credit Card,No,45000,2250.0,42750.0
O00064,2025-01-07 20:50:27.485497099,C0145,Monitor,Electronics,South,2,15000,0.15,UPI,No,30000,4500.0,25500.0
O00065,2025-01-07 23:27:26.969393878,C0170,Headphones,Accessories,North,2,2500,0.1,Cash,No,5000,500.0,4500.0
O00066,2025-01-08 02:04:26.453290658,C0328,Webcam,Accessories,North,5,3500,0.0,Cash,No,17500,0.0,17500.0
O00067,2025-01-08 04:41:25.937187437,C0161,Monitor,Electronics,North,2,15000,0.05,Cash,No,30000,1500.0,28500.0
O00068,2025-01-08 07:18:25.421084216,C0020,Smartphone,Electronics,South,3,40000,0.15,UPI,No,120000,18000.0,102000.0
O00069,2025-01-08 09:55:24.904980996,C0311,Mouse,Accessories,North,2,800,0.05,Cash,No,1600,80.0,1520.0
O00070,2025-01-08 12:32:24.388877775,C0361,Monitor,Electronics,North,4,15000,0.1,Credit Card,No,60000,6000.0,54000.0
O00071,2025-01-08 15:09:23.872774554,C0425,Monitor,Electronics,South,1,15000,0.0,Credit Card,No,15000,0.0,15000.0
O00072,2025-01-08 17:46:23.356671334,C0366,Headphones,Accessories,South,5,2500,0.1,Cash,No,12500,1250.0,11250.0
O00073,2025-01-08 20:23:22.840568113,C0462,Tablet,Electronics,North,2,30000,0.15,Debit Card,No,60000,9000.0,51000.0
O00074,2025-01-08 23:00:22.324464893,C0463,Mouse,Accessories,South,3,800,0.0,Cash,No,2400,0.0,2400.0
O00075,2025-01-09 01:37:21.808361672,C0102,Smartphone,Electronics,South,5,40000,0.15,Debit Card,No,200000,30000.0,170000.0
O00076,2025-01-09 04:14:21.292258451,C0425,Smartphone,Electronics,North,1,40000,0.15,UPI,No,40000,6000.0,34000.0
O00077,2025-01-09 06:51:20.776155231,C0114,Smartphone,Electronics,South,5,40000,0.0,Debit Card,No,200000,0.0,200000.0
O00078,2025-01-09 09:28:20.260052010,C0387,Keyboard,Accessories,South,4,2000,0.1,UPI,No,8000,800.0,7200.0
O00079,2025-01-09 12:05:19.743948789,C0435,Monitor,Electronics,North,4,15000,0.05,Cash,Yes,60000,3000.0,57000.0
O00080,2025-01-09 14:42:19.227845569,C0335,Monitor,Electronics,South,2,15000,0.1,Debit Card,No,30000,3000.0,27000.0
O00081,2025-01-09 17:19:18.711742348,C0123,Keyboard,Accessories,East,2,2000,0.0,UPI,No,4000,0.0,4000.0
O00082,2025-01-09 19:56:18.195639127,C0208,Webcam,Accessories,North,3,3500,0.1,Credit Card,No,10500,1050.0,9450.0
O00083,2025-01-09 22:33:17.679535907,C0234,Keyboard,Accessories,North,1,2000,0.1,Debit Card,No,2000,200.0,1800.0
O00084,2025-01-10 01:10:17.163432686,C0051,Mouse,Accessories,East,3,800,0.05,Debit Card,No,2400,120.0,2280.0
O00085,2025-01-10 03:47:16.647329465,C0112,Smartphone,Electronics,West,5,40000,0.05,UPI,No,200000,10000.0,190000.0
O00086,2025-01-10 06:24:16.131226245,C0421,Laptop,Electronics,West,1,65000,0.0,Credit Card,No,65000,0.0,65000.0
O00087,2025-01-10 09:01:15.615123024,C0386,Smartphone,Electronics,South,5,40000,0.0,UPI,No,200000,0.0,200000.0
O00088,2025-01-10 11:38:15.099019803,C0121,Webcam,Accessories,West,3,3500,0.1,Credit Card,No,10500,1050.0,9450.0
O00089,2025-01-10 14:15:14.582916583,C0365,Headphones,Accessories,South,2,2500,0.15,Debit Card,No,5000,750.0,4250.0
O00090,2025-01-10 16:52:14.066813362,C0123,Headphones,Accessories,North,2,2500,0.0,UPI,No,5000,0.0,5000.0
O00091,2025-01-10 19:29:13.550710142,C0451,Laptop,Electronics,East,3,65000,0.15,UPI,No,195000,29250.0,165750.0
O00092,2025-01-10 22:06:13.034606921,C0159,Monitor,Electronics,West,1,15000,0.15,UPI,No,15000,2250.0,12750.0
O00093,2025-01-11 00:43:12.518503700,C0123,Webcam,Accessories,North,4,3500,0.15,Debit Card,No,14000,2100.0,11900.0
O00094,2025-01-11 03:20:12.002400480,C0308,Webcam,Accessories,East,1,3500,0.15,UPI,No,3500,525.0,2975.0
O00095,2025-01-11 05:57:11.486297259,C0361,Webcam,Accessories,South,2,3500,0.1,Credit Card,No,7000,700.0,6300.0
O00096,2025-01-11 08:34:10.970194038,C0482,Smartphone,Electronics,West,2,40000,0.0,Debit Card,No,80000,0.0,80000.0
O00097,2025-01-11 11:11:10.454090818,C0150,Webcam,Accessories,South,2,3500,0.1,Debit Card,No,7000,700.0,6300.0
O00098,2025-01-11 13:48:09.937987597,C0474,Webcam,Accessories,East,4,3500,0.15,Credit Card,No,14000,2100.0,11900.0
O00099,2025-01-11 16:25:09.421884376,C0454,Keyboard,Accessories,West,5,2000,0.05,Debit Card,No,10000,500.0,9500.0
O00100,2025-01-11 19:02:08.905781156,C0264,Monitor,Electronics,South,1,15000,0.05,Debit Card,No,15000,750.0,14250.0
O00101,2025-01-11 21:39:08.389677935,C0456,Headphones,Accessories,South,5,2500,0.0,Credit Card,No,12500,0.0,12500.0
O00102,2025-01-12 00:16:07.873574714,C0307,Smartphone,Electronics,West,5,40000,0.0,Credit Card,No,200000,0.0,200000.0
O00103,2025-01-12 02:53:07.357471494,C0182,Mouse,Accessories,North,4,800,0.1,UPI,No,3200,320.0,2880.0
O00104,2025-01-12 05:30:06.841368273,C0016,Keyboard,Accessories,East,1,2000,0.15,Debit Card,No,2000,300.0,1700.0
O00105,2025-01-12 08:07:06.325265053,C0118,Headphones,Accessories,West,3,2500,0.1,Cash,No,7500,750.0,6750.0
O00106,2025-01-12 10:44:05.809161832,C0239,Headphones,Accessories,South,5,2500,0.1,UPI,No,12500,1250.0,11250.0
O00107,2025-01-12 13:21:05.293058611,C0355,Headphones,Accessories,West,4,2500,0.05,Credit Card,No,10000,500.0,9500.0
O00108,2025-01-12 15:58:04.776955391,C0037,Tablet,Electronics,North,5,30000,0.15,Debit Card,No,150000,22500.0,127500.0
O00109,2025-01-12 18:35:04.260852170,C0352,Keyboard,Accessories,West,2,2000,0.0,Debit Card,No,4000,0.0,4000.0
O00110,2025-01-12 21:12:03.744748949,C0192,Keyboard,Accessories,North,1,2000,0.0,Cash,No,2000,0.0,2000.0
O00111,2025-01-12 23:49:03.228645729,C0486,Mouse,Accessories,North,1,800,0.15,Credit Card,No,800,120.0,680.0
O00112,2025-01-13 02:26:02.712542508,C0142,Webcam,Accessories,East,2,3500,0.1,Credit Card,No,7000,700.0,6300.0
O00113,2025-01-13 05:03:02.196439287,C0235,Smartphone,Electronics,East,3,40000,0.0,UPI,No,120000,0.0,120000.0
O00114,2025-01-13 07:40:01.680336067,C0454,Webcam,Accessories,South,5,3500,0.05,Credit Card,No,17500,875.0,16625.0
O00115,2025-01-13 10:17:01.164232846,C0047,Monitor,Electronics,East,1,15000,0.0,Cash,No,15000,0.0,15000.0
O00116,2025-01-13 12:54:00.648129625,C0352,Tablet,Electronics,East,3,30000,0.05,Credit Card,No,90000,4500.0,85500.0
O00117,2025-01-13 15:31:00.132026405,C0037,Smartphone,Electronics,South,5,40000,0.0,Debit Card,No,200000,0.0,200000.0
O00118,2025-01-13 18:07:59.615923184,C0092,Webcam,Accessories,North,2,3500,0.05,Debit Card,No,7000,350.0,6650.0
O00119,2025-01-13 20:44:59.099819964,C0278,Keyboard,Accessories,West,2,2000,0.15,Credit Card,No,4000,600.0,3400.0
O00120,2025-01-13 23:21:58.583716743,C0061,Keyboard,Accessories,North,2,2000,0.15,Credit Card,No,4000,600.0,3400.0
O00121,2025-01-14 01:58:58.067613522,C0374,Monitor,Electronics,South,5,15000,0.15,Credit Card,No,75000,11250.0,63750.0
O00122,2025-01-14 04:35:57.551510302,C0302,Laptop,Electronics,East,3,65000,0.05,Debit Card,No,195000,9750.0,185250.0
O00123,2025-01-14 07:12:57.035407081,C0447,Monitor,Electronics,East,1,15000,0.15,Cash,No,15000,2250.0,12750.0
O00124,2025-01-14 09:49:56.519303860,C0349,Monitor,Electronics,East,3,15000,0.15,Debit Card,No,45000,6750.0,38250.0
O00125,2025-01-14 12:26:56.003200640,C0042,Tablet,Electronics,North,1,30000,0.0,Credit Card,No,30000,0.0,30000.0
O00126,2025-01-14 15:03:55.487097419,C0157,Keyboard,Accessories,North,5,2000,0.0,Credit Card,Yes,10000,0.0,10000.0
O00127,2025-01-14 17:40:54.970994198,C0103,Headphones,Accessories,West,1,2500,0.0,Debit Card,No,2500,0.0,2500.0
O00128,2025-01-14 20:17:54.454890978,C0116,Webcam,Accessories,South,2,3500,0.1,UPI,No,7000,700.0,6300.0
O00129,2025-01-14 22:54:53.938787757,C0497,Monitor,Electronics,North,2,15000,0.0,Debit Card,No,30000,0.0,30000.0
O00130,2025-01-15 01:31:53.422684536,C0037,Tablet,Electronics,South,4,30000,0.0,Debit Card,No,120000,0.0,120000.0
O00131,2025-01-15 04:08:52.906581316,C0087,Mouse,Accessories,South,5,800,0.1,Debit Card,No,4000,400.0,3600.0
O00132,2025-01-15 06:45:52.390478095,C0187,Keyboard,Accessories,West,5,2000,0.1,Cash,No,10000,1000.0,9000.0
O00133,2025-01-15 09:22:51.874374875,C0284,Keyboard,Accessories,South,3,2000,0.15,Debit Card,No,6000,900.0,5100.0
O00134,2025-01-15 11:59:51.358271654,C0496,Headphones,Accessories,North,4,2500,0.05,Debit Card,No,10000,500.0,9500.0
O00135,2025-01-15 14:36:50.842168433,C0147,Laptop,Electronics,East,2,65000,0.0,Debit Card,No,130000,0.0,130000.0
O00136,2025-01-15 17:13:50.326065213,C0132,Headphones,Accessories,North,2,2500,0.15,UPI,No,5000,750.0,4250.0
O00137,2025-01-15 19:50:49.809961992,C0112,Tablet,Electronics,East,1,30000,0.05,Cash,No,30000,1500.0,28500.0
O00138,2025-01-15 22:27:49.293858771,C0067,Webcam,Accessories,East,4,3500,0.1,UPI,No,14000,1400.0,12600.0
O00139,2025-01-16 01:04:48.777755551,C0307,Laptop,Electronics,West,5,65000,0.0,Cash,No,325000,0.0,325000.0
O00140,2025-01-16 03:41:48.261652330,C0479,Laptop,Electronics,South,4,65000,0.15,UPI,No,260000,39000.0,221000.0
O00141,2025-01-16 06:18:47.745549109,C0033,Mouse,Accessories,South,4,800,0.1,UPI,No,3200,320.0,2880.0
O00142,2025-01-16 08:55:47.229445889,C0097,Monitor,Electronics,North,4,15000,0.15,Debit Card,No,60000,9000.0,51000.0
O00143,2025-01-16 11:32:46.713342668,C0161,Headphones,Accessories,South,4,2500,0.0,Cash,No,10000,0.0,10000.0
O00144,2025-01-16 14:09:46.197239447,C0175,Laptop,Electronics,East,1,65000,0.05,Debit Card,No,65000,3250.0,61750.0
O00145,2025-01-16 16:46:45.681136227,C0001,Mouse,Accessories,East,4,800,0.15,Credit Card,No,3200,480.0,2720.0
O00146,2025-01-16 19:23:45.165033006,C0286,Webcam,Accessories,West,4,3500,0.05,Debit Card,No,14000,700.0,13300.0
O00147,2025-01-16 22:00:44.648929786,C0390,Tablet,Electronics,South,5,30000,0.15,Cash,No,150000,22500.0,127500.0
O00148,2025-01-17 00:37:44.132826565,C0013,Tablet,Electronics,West,5,30000,0.05,UPI,No,150000,7500.0,142500.0
O00149,2025-01-17 03:14:43.616723344,C0479,Tablet,Electronics,East,5,30000,0.1,UPI,No,150000,15000.0,135000.0
O00150,2025-01-17 05:51:43.100620124,C0447,Headphones,Accessories,West,3,2500,0.0,Debit Card,No,7500,0.0,7500.0
O00151,2025-01-17 08:28:42.584516903,C0041,Tablet,Electronics,North,5,30000,0.1,Debit Card,No,150000,15000.0,135000.0
O00152,2025-01-17 11:05:42.068413682,C0293,Headphones,Accessories,South,4,2500,0.15,Debit Card,No,10000,1500.0,8500.0
O00153,2025-01-17 13:42:41.552310462,C0410,Keyboard,Accessories,West,3,2000,0.1,Cash,No,6000,600.0,5400.0
O00154,2025-01-17 16:19:41.036207241,C0181,Smartphone,Electronics,East,3,40000,0.0,UPI,No,120000,0.0,120000.0
O00155,2025-01-17 18:56:40.520104020,C0432,Keyboard,Accessories,East,5,2000,0.15,Debit Card,No,10000,1500.0,8500.0
O00156,2025-01-17 21:33:40.004000800,C0473,Webcam,Accessories,North,5,3500,0.15,UPI,No,17500,2625.0,14875.0
O00157,2025-01-18 00:10:39.487897579,C0049,Webcam,Accessories,East,4,3500,0.15,Debit Card,No,14000,2100.0,11900.0
O00158,2025-01-18 02:47:38.971794358,C0303,Webcam,Accessories,North,1,3500,0.1,Cash,No,3500,350.0,3150.0
O00159,2025-01-18 05:24:38.455691138,C0003,Monitor,Electronics,South,2,15000,0.0,Debit Card,No,30000,0.0,30000.0
O00160,2025-01-18 08:01:37.939587917,C0410,Smartphone,Electronics,North,5,40000,0.0,Debit Card,No,200000,0.0,200000.0
O00161,2025-01-18 10:38:37.423484697,C0131,Mouse,Accessories,North,3,800,0.1,Debit Card,No,2400,240.0,2160.0
O00162,2025-01-18 13:15:36.907381476,C0484,Webcam,Accessories,East,5,3500,0.1,Debit Card,No,17500,1750.0,15750.0
O00163,2025-01-18 15:52:36.391278255,C0070,Mouse,Accessories,East,1,800,0.15,Cash,Yes,800,120.0,680.0
O00164,2025-01-18 18:29:35.875175035,C0078,Tablet,Electronics,East,5,30000,0.0,Credit Card,No,150000,0.0,150000.0
O00165,2025-01-18 21:06:35.359071814,C0311,Keyboard,Accessories,East,2,2000,0.05,UPI,No,4000,200.0,3800.0
O00166,2025-01-18 23:43:34.842968593,C0238,Headphones,Accessories,South,5,2500,0.0,Cash,No,12500,0.0,12500.0
O00167,2025-01-19 02:20:34.326865373,C0192,Laptop,Electronics,South,3,65000,0.15,Cash,No,195000,29250.0,165750.0
O00168,2025-01-19 04:57:33.810762152,C0299,Smartphone,Electronics,East,2,40000,0.05,Credit Card,No,80000,4000.0,76000.0
O00169,2025-01-19 07:34:33.294658931,C0386,Mouse,Accessories,North,3,800,0.0,UPI,No,2400,0.0,2400.0
O00170,2025-01-19 10:11:32.778555711,C0297,Laptop,Electronics,South,5,65000,0.0,Cash,No,325000,0.0,325000.0
O00171,2025-01-19 12:48:32.262452490,C0046,Monitor,Electronics,East,3,15000,0.15,Cash,No,45000,6750.0,38250.0
O00172,2025-01-19 15:25:31.746349269,C0458,Smartphone,Electronics,East,4,40000,0.15,Cash,No,160000,24000.0,136000.0
O00173,2025-01-19 18:02:31.230246049,C0274,Headphones,Accessories,East,4,2500,0.0,Cash,No,10000,0.0,10000.0
O00174,2025-01-19 20:39:30.714142828,C0141,Webcam,Accessories,North,4,3500,0.15,Debit Card,No,14000,2100.0,11900.0
O00175,2025-01-19 23:16:30.198039607,C0264,Smartphone,Electronics,North,3,40000,0.0,Debit Card,Yes,120000,0.0,120000.0
O00176,2025-01-20 01:53:29.681936387,C0134,Headphones,Accessories,South,3,2500,0.0,Debit Card,No,7500,0.0,7500.0
O00177,2025-01-20 04:30:29.165833166,C0015,Webcam,Accessories,West,2,3500,0.1,Credit Card,No,7000,700.0,6300.0
O00178,2025-01-20 07:07:28.649729946,C0439,Laptop,Electronics,West,3,65000,0.0,Credit Card,No,195000,0.0,195000.0
O00179,2025-01-20 09:44:28.133626725,C0217,Mouse,Accessories,North,2,800,0.1,Debit Card,No,1600,160.0,1440.0
O00180,2025-01-20 12:21:27.617523504,C0377,Tablet,Electronics,North,3,30000,0.1,Cash,No,90000,9000.0,81000.0
O00181,2025-01-20 14:58:27.101420284,C0034,Monitor,Electronics,East,2,15000,0.05,UPI,No,30000,1500.0,28500.0
O00182,2025-01-20 17:35:26.585317063,C0446,Mouse,Accessories,North,4,800,0.1,Credit Card,No,3200,320.0,2880.0
O00183,2025-01-20 20:12:26.069213842,C0494,Monitor,Electronics,North,3,15000,0.1,Credit Card,No,45000,4500.0,40500.0
O00184,2025-01-20 22:49:25.553110622,C0023,Headphones,Accessories,West,4,2500,0.15,Debit Card,No,10000,1500.0,8500.0
O00185,2025-01-21 01:26:25.037007401,C0413,Mouse,Accessories,West,2,800,0.0,UPI,No,1600,0.0,1600.0
O00186,2025-01-21 04:03:24.520904180,C0219,Headphones,Accessories,South,2,2500,0.0,UPI,No,5000,0.0,5000.0
O00187,2025-01-21 06:40:24.004800960,C0089,Laptop,Electronics,East,2,65000,0.15,Cash,No,130000,19500.0,110500.0
O00188,2025-01-21 09:17:23.488697739,C0136,Headphones,Accessories,North,5,2500,0.1,Cash,No,12500,1250.0,11250.0
O00189,2025-01-21 11:54:22.972594518,C0091,Monitor,Electronics,West,4,15000,0.0,UPI,No,60000,0.0,60000.0
O00190,2025-01-21 14:31:22.456491298,C0390,Monitor,Electronics,South,1,15000,0.05,Credit Card,No,15000,750.0,14250.0
O00191,2025-01-21 17:08:21.940388077,C0335,Laptop,Electronics,North,5,65000,0.0,Cash,No,325000,0.0,325000.0
O00192,2025-01-21 19:45:21.424284857,C0159,Headphones,Accessories,South,3,2500,0.1,Debit Card,No,7500,750.0,6750.0
O00193,2025-01-21 22:22:20.908181636,C0152,Keyboard,Accessories,West,4,2000,0.0,Cash,No,8000,0.0,8000.0
O00194,2025-01-22 00:59:20.392078415,C0001,Webcam,Accessories,East,3,3500,0.0,Credit Card,No,10500,0.0,10500.0
O00195,2025-01-22 03:36:19.875975195,C0180,Tablet,Electronics,North,3,30000,0.1,Cash,No,90000,9000.0,81000.0
O00196,2025-01-22 06:13:19.359871974,C0028,Laptop,Electronics,North,3,65000,0.1,Debit Card,No,195000,19500.0,175500.0
O00197,2025-01-22 08:50:18.843768753,C0208,Mouse,Accessories,South,2,800,0.0,Debit Card,No,1600,0.0,1600.0
O00198,2025-01-22 11:27:18.327665533,C0056,Keyboard,Accessories,West,4,2000,0.0,Debit Card,No,8000,0.0,8000.0
O00199,2025-01-22 14:04:17.811562312,C0252,Keyboard,Accessories,West,4,2000,0.0,Debit Card,No,8000,0.0,8000.0
O00200,2025-01-22 16:41:17.295459091,C0345,Mouse,Accessories,West,3,800,0.0,Debit Card,No,2400,0.0,2400.0
O00201,2025-01-22 19:18:16.779355871,C0388,Monitor,Electronics,North,2,15000,0.1,Cash,No,30000,3000.0,27000.0
O00202,2025-01-22 21:55:16.263252650,C0430,Headphones,Accessories,North,2,2500,0.05,Debit Card,No,5000,250.0,4750.0
O00203,2025-01-23 00:32:15.747149429,C0116,Tablet,Electronics,South,1,30000,0.05,Cash,No,30000,1500.0,28500.0
O00204,2025-01-23 03:09:15.231046209,C0188,Monitor,Electronics,East,4,15000,0.05,Credit Card,No,60000,3000.0,57000.0
O00205,2025-01-23 05:46:14.714942988,C0403,Monitor,Electronics,South,1,15000,0.0,Cash,No,15000,0.0,15000.0
O00206,2025-01-23 08:23:14.198839767,C0144,Webcam,Accessories,East,4,3500,0.05,Debit Card,No,14000,700.0,13300.0
O00207,2025-01-23 11:00:13.682736547,C0462,Headphones,Accessories,North,5,2500,0.1,Debit Card,No,12500,1250.0,11250.0
O00208,2025-01-23 13:37:13.166633326,C0154,Keyboard,Accessories,North,3,2000,0.0,Cash,No,6000,0.0,6000.0
O00209,2025-01-23 16:14:12.650530106,C0377,Tablet,Electronics,North,3,30000,0.0,Cash,Yes,90000,0.0,90000.0
O00210,2025-01-23 18:51:12.134426885,C0291,Webcam,Accessories,West,4,3500,0.05,Cash,No,14000,700.0,13300.0
