customer_id,total_orders,total_revenue
C0369,10,560080.0
C0287,11,558850.0
C0494,8,555225.0
C0012,12,552880.0
C0082,9,552225.0
C0131,10,550870.0
C0094,13,550600.0
C0049,12,550430.0
C0485,5,550250.0
C0381,8,549850.0
C0289,11,549825.0
C0438,10,549655.0
C0227,14,549215.0
C0103,14,547300.0
C0146,14,545400.0
C0497,7,542290.0
C0389,10,539450.0
C0017,9,539200.0
C0488,10,538300.0
C0268,6,536600.0
C0340,6,536125.0
C0075,11,533940.0
C0384,11,531575.0
C0198,11,531320.0
C0239,6,530750.0
C0470,11,530550.0
C0361,10,526730.0
C0148,3,524250.0
C0261,9,522600.0
C0423,16,521595.0
C0367,8,521450.0
C0477,9,520280.0
C0090,4,519700.0
C0245,13,517920.0
C0025,8,516350.0
C0403,15,515870.0
C0046,9,513600.0
C0027,8,510750.0
C0248,12,508450.0
C0429,8,508000.0
C0480,7,507780.0
C0352,9,504200.0
C0331,8,504000.0
C0322,7,495850.0
C0045,8,493610.0
C0166,7,492600.0
C0096,8,489315.0
C0008,6,488550.0
C0486,10,486535.0
C0377,9,485900.0
C0178,6,484140.0
C0011,10,483650.0
C0452,12,483645.0
C0229,8,482525.0
C0044,9,478625.0
C0269,10,477200.0
C0023,14,476370.0
C0380,9,475760.0
C0338,10,473865.0
C0391,10,472675.0
C0156,13,472235.0
C0232,11,469550.0
C0394,9,468075.0
C0243,7,466300.0
C0068,7,466270.0
C0278,14,464035.0
C0310,10,463710.0
C0151,8,461240.0
C0404,7,456750.0
C0416,17,453995.0
C0414,13,453890.0
C0450,11,451425.0
C0085,8,450470.0
C0283,11,450130.0
C0341,11,450125.0
C0157,7,449655.0
C0051,13,444270.0
C0293,13,443580.0
C0334,9,440950.0
C0225,9,440315.0
C0196,8,439625.0
C0299,8,438500.0
C0440,7,437800.0
C0453,10,437150.0
C0116,8,435610.0
C0263,11,435170.0
C0028,7,432300.0
C0305,6,432070.0
C0105,12,431125.0
C0387,7,428950.0
C0197,8,427940.0
C0412,10,424530.0
C0174,15,424055.0
C0083,8,423250.0
C0112,7,423125.0
C0303,7,421275.0
C0218,5,421000.0
C0490,10,419905.0
C0042,8,419600.0
C0114,7,418100.0
C0469,10,416615.0
C0242,10,415725.0
C0346,11,412625.0
C0065,6,412175.0
C0271,10,412070.0
C0144,9,408725.0
C0040,9,408450.0
C0095,8,408315.0
C0474,13,408305.0
C0424,9,404725.0
C0079,5,403900.0
C0052,6,400735.0
C0460,9,398610.0
C0362,9,397950.0
C0496,11,396680.0
C0311,9,394020.0
C0317,10,393075.0
C0059,6,392925.0
C0320,6,391130.0
C0171,9,390275.0
C0468,7,388475.0
C0041,9,387075.0
C0206,12,385150.0
C0224,11,384200.0
C0186,13,383510.0
C0270,7,382600.0
C0294,9,378230.0
C0055,7,375220.0
C0236,9,372250.0
C0295,11,371075.0
C0093,9,370345.0
C0434,8,369615.0
C0433,7,368175.0
C0238,9,366190.0
C0140,10,365455.0
C0063,8,365200.0
C0290,8,363820.0
C0014,11,361805.0
C0058,11,358970.0
C0009,8,358275.0
C0461,13,357605.0
C0296,11,355745.0
C0324,10,355700.0
C0066,6,355225.0
C0279,12,354310.0
C0205,6,353625.0
C0265,6,349150.0
C0019,10,347620.0
C0034,14,345400.0
C0306,2,344000.0
C0273,11,343990.0
C0313,13,342040.0
C0333,8,341955.0
C0409,6,341315.0
C0158,8,340990.0
C0276,5,340000.0
C0444,12,339430.0
C0200,7,339050.0
C0125,8,338230.0
C0047,5,334400.0
C0039,4,332650.0
C0386,7,332250.0
C0160,7,332075.0
C0330,7,328725.0
C0035,14,328680.0
C0070,7,328580.0
C0217,6,328090.0
C0358,10,324075.0
C0282,13,323935.0
C0366,12,323670.0
C0489,10,318400.0
C0382,8,318280.0
C0113,6,313620.0
C0210,8,311160.0
C0086,5,306400.0
C0223,7,306250.0
C0291,7,306200.0
C0365,13,302865.0
C0002,9,300600.0
C0459,10,299370.0
C0337,10,298475.0
C0371,8,297260.0
C0062,8,295210.0
C0084,7,294020.0
C0139,7,293975.0
C0255,10,293475.0
C0064,6,291250.0
C0348,6,289825.0
C0332,7,288600.0
C0132,8,288070.0
C0498,9,287920.0
C0211,6,286775.0
C0420,7,284175.0
C0447,13,283845.0
C0376,8,283310.0
C0308,7,281475.0
C0363,7,278410.0
C0204,10,272930.0
C0254,6,270925.0
C0071,8,269650.0
C0267,14,267735.0
C0188,9,266700.0
C0249,10,265595.0
C0471,10,264640.0
C0024,7,263000.0
C0155,8,262635.0
C0260,9,261845.0
C0106,7,260470.0
C0373,8,256600.0
C0124,4,254600.0
C0399,9,249560.0
C0368,14,244880.0
C0400,7,242775.0
C0133,11,242300.0
C0183,11,242210.0
C0483,9,241690.0
C0484,8,239125.0
C0344,7,238465.0
C0397,7,237500.0
C0357,5,236075.0
C0076,7,234950.0
C0259,9,234325.0
C0401,7,231985.0
C0136,7,231860.0
C0329,8,231050.0
C0277,9,230750.0
C0328,6,228745.0
C0130,8,227075.0
C0464,9,226700.0
C0426,9,226200.0
C0241,8,221800.0
C0137,10,205130.0
C0167,9,204675.0
C0446,9,198910.0
C0006,6,193350.0
C0134,11,192425.0
C0201,9,191825.0
C0007,7,191625.0
C0463,11,187375.0
C0475,8,185475.0
C0092,9,184545.0
C0262,6,184525.0
C0407,8,182625.0
C0499,4,181700.0
C0465,7,181375.0
C0345,10,180510.0
C0191,8,179050.0
C0073,8,174330.0
C0449,4,173500.0
C0032,9,172160.0
C0247,4,158260.0
C0038,8,152670.0
C0288,9,152500.0
C0122,7,150260.0
C0173,3,144000.0
C0170,4,142925.0
C0466,14,137300.0
C0001,7,135820.0
C0097,8,130900.0
C0356,9,127550.0
C0343,8,127065.0
C0347,5,120580.0
C0315,7,115140.0
C0015,5,110600.0
C0396,6,108625.0
C0385,7,107650.0
C0207,7,107175.0
C0435,6,104440.0
C0172,8,104200.0
C0005,4,100500.0
C0281,5,98030.0
C0072,6,86800.0
C0487,5,84200.0
C0220,7,79190.0
C0022,5,76675.0
C0169,9,68175.0
C0214,5,59620.0
C0141,5,52660.0
