customer_id,order_count,units_sold,revenue,average_transaction_value,average_customer_revenue,revenue_vs_customer_average
C0406,13,42,995625.0,76586.54,558188.6,437436.4
C0244,13,47,989695.0,76130.38,558188.6,431506.4
C0018,10,34,989000.0,98900.0,558188.6,430811.4
C0030,9,32,981285.0,109031.67,558188.6,423096.4
C0318,13,37,980600.0,75430.77,558188.6,422411.4
C0448,9,23,979150.0,108794.44,558188.6,420961.4
C0258,12,29,969015.0,80751.25,558188.6,410826.4
C0057,12,36,963925.0,80327.08,558188.6,405736.4
C0442,10,45,959250.0,95925.0,558188.6,401061.4
C0479,21,63,946495.0,45071.19,558188.6,388306.4
C0190,9,33,944700.0,104966.67,558188.6,386511.4
C0121,9,26,941200.0,104577.78,558188.6,383011.4
C0492,16,54,941000.0,58812.5,558188.6,382811.4
C0432,14,44,932425.0,66601.79,558188.6,374236.4
C0164,13,37,926425.0,71263.46,558188.6,368236.4
C0123,13,35,925785.0,71214.23,558188.6,367596.4
C0408,14,41,923915.0,65993.93,558188.6,365726.4
C0184,20,53,920310.0,46015.5,558188.6,362121.4
C0080,8,24,916500.0,114562.5,558188.6,358311.4
C0189,10,29,908455.0,90845.5,558188.6,350266.4
C0163,10,36,904050.0,90405.0,558188.6,345861.4
C0319,12,26,901250.0,75104.17,558188.6,343061.4
C0419,7,23,896000.0,128000.0,558188.6,337811.4
C0286,15,47,891275.0,59418.33,558188.6,333086.4
C0411,13,43,882955.0,67919.62,558188.6,324766.4
C0003,13,35,878500.0,67576.92,558188.6,320311.4
C0181,9,31,877280.0,97475.56,558188.6,319091.4
C0176,11,41,876835.0,79712.27,558188.6,318646.4
C0043,10,33,875650.0,87565.0,558188.6,317461.4
C0439,11,31,875035.0,79548.64,558188.6,316846.4
C0339,10,34,873550.0,87355.0,558188.6,315361.4
C0048,12,41,871975.0,72664.58,558188.6,313786.4
C0398,9,30,870750.0,96750.0,558188.6,312561.4
C0069,10,31,870400.0,87040.0,558188.6,312211.4
C0237,10,33,868100.0,86810.0,558188.6,309911.4
C0252,13,45,864575.0,66505.77,558188.6,306386.4
C0194,13,42,858970.0,66074.62,558188.6,300781.4
C0495,13,34,855550.0,65811.54,558188.6,297361.4
C0402,9,30,853770.0,94863.33,558188.6,295581.4
C0500,9,27,848875.0,94319.44,558188.6,290686.4
C0195,15,47,848325.0,56555.0,558188.6,290136.4
C0199,11,37,846310.0,76937.27,558188.6,288121.4
C0100,9,26,844650.0,93850.0,558188.6,286461.4
C0054,9,33,836500.0,92944.44,558188.6,278311.4
C0441,13,45,836075.0,64313.46,558188.6,277886.4
C0428,14,58,835775.0,59698.21,558188.6,277586.4
C0491,9,24,832500.0,92500.0,558188.6,274311.4
C0349,10,26,831620.0,83162.0,558188.6,273431.4
C0304,11,39,825355.0,75032.27,558188.6,267166.4
C0353,10,26,812905.0,81290.5,558188.6,254716.4
C0336,15,49,807460.0,53830.67,558188.6,249271.4
C0115,17,53,807315.0,47489.12,558188.6,249126.4
C0390,20,56,801785.0,40089.25,558188.6,243596.4
C0081,9,25,798725.0,88747.22,558188.6,240536.4
C0150,14,43,797150.0,56939.29,558188.6,238961.4
C0405,16,47,795650.0,49728.13,558188.6,237461.4
C0060,11,33,793650.0,72150.0,558188.6,235461.4
C0208,12,37,793650.0,66137.5,558188.6,235461.4
C0168,7,21,790825.0,112975.0,558188.6,232636.4
C0111,12,37,788665.0,65722.08,558188.6,230476.4
C0233,10,25,788610.0,78861.0,558188.6,230421.4
C0203,11,36,788605.0,71691.36,558188.6,230416.4
C0213,8,23,783850.0,97981.25,558188.6,225661.4
C0221,14,42,781375.0,55812.5,558188.6,223186.4
C0478,9,25,780460.0,86717.78,558188.6,222271.4
C0104,13,44,772270.0,59405.38,558188.6,214081.4
C0421,7,23,771250.0,110178.57,558188.6,213061.4
C0108,14,36,771070.0,55076.43,558188.6,212881.4
C0138,11,42,770345.0,70031.36,558188.6,212156.4
C0031,13,38,767600.0,59046.15,558188.6,209411.4
C0182,11,35,766815.0,69710.45,558188.6,208626.4
C0325,13,34,764475.0,58805.77,558188.6,206286.4
C0126,10,39,759475.0,75947.5,558188.6,201286.4
C0240,8,24,758030.0,94753.75,558188.6,199841.4
C0118,19,49,752035.0,39580.79,558188.6,193846.4
C0192,11,31,750075.0,68188.64,558188.6,191886.4
C0445,10,30,746175.0,74617.5,558188.6,187986.4
C0316,10,36,743700.0,74370.0,558188.6,185511.4
C0222,14,37,741490.0,52963.57,558188.6,183301.4
C0427,8,27,740050.0,92506.25,558188.6,181861.4
C0388,8,24,737250.0,92156.25,558188.6,179061.4
C0216,7,17,733000.0,104714.29,558188.6,174811.4
C0056,15,42,732600.0,48840.0,558188.6,174411.4
C0355,13,40,732450.0,56342.31,558188.6,174261.4
C0383,13,38,732250.0,56326.92,558188.6,174061.4
C0425,13,28,727750.0,55980.77,558188.6,169561.4
C0457,13,41,722890.0,55606.92,558188.6,164701.4
C0021,11,36,719755.0,65432.27,558188.6,161566.4
C0393,7,28,718400.0,102628.57,558188.6,160211.4
C0179,14,39,714475.0,51033.93,558188.6,156286.4
C0074,10,21,710125.0,71012.5,558188.6,151936.4
C0280,8,30,710025.0,88753.13,558188.6,151836.4
C0431,11,40,703510.0,63955.45,558188.6,145321.4
C0153,8,36,703500.0,87937.5,558188.6,145311.4
C0301,5,21,694850.0,138970.0,558188.6,136661.4
C0219,14,41,691000.0,49357.14,558188.6,132811.4
C0370,9,28,689500.0,76611.11,558188.6,131311.4
C0372,9,23,687600.0,76400.0,558188.6,129411.4
C0451,6,21,687500.0,114583.33,558188.6,129311.4
C0253,14,43,681430.0,48673.57,558188.6,123241.4
C0455,12,33,680700.0,56725.0,558188.6,122511.4
C0033,18,55,679630.0,37757.22,558188.6,121441.4
C0128,12,34,675970.0,56330.83,558188.6,117781.4
C0235,9,26,675910.0,75101.11,558188.6,117721.4
C0036,16,45,669475.0,41842.19,558188.6,111286.4
C0422,13,44,668325.0,51409.62,558188.6,110136.4
C0202,10,28,668025.0,66802.5,558188.6,109836.4
C0187,15,49,667225.0,44481.67,558188.6,109036.4
C0359,16,43,666145.0,41634.06,558188.6,107956.4
C0228,11,31,666065.0,60551.36,558188.6,107876.4
C0493,8,29,657500.0,82187.5,558188.6,99311.4
C0257,10,30,656500.0,65650.0,558188.6,98311.4
C0053,17,58,649930.0,38231.18,558188.6,91741.4
C0230,10,32,648000.0,64800.0,558188.6,89811.4
C0175,7,25,642775.0,91825.0,558188.6,84586.4
C0147,12,39,642330.0,53527.5,558188.6,84141.4
C0481,10,28,641300.0,64130.0,558188.6,83111.4
C0107,14,40,641050.0,45789.29,558188.6,82861.4
C0165,11,33,639625.0,58147.73,558188.6,81436.4
C0209,11,35,637900.0,57990.91,558188.6,79711.4
C0142,13,37,637415.0,49031.92,558188.6,79226.4
C0314,7,22,637200.0,91028.57,558188.6,79011.4
C0364,9,35,637125.0,70791.67,558188.6,78936.4
C0476,13,44,634880.0,48836.92,558188.6,76691.4
C0264,14,40,633670.0,45262.14,558188.6,75481.4
C0392,11,37,632210.0,57473.64,558188.6,74021.4
C0162,6,24,628790.0,104798.33,558188.6,70601.4
C0298,14,45,627750.0,44839.29,558188.6,69561.4
C0395,10,35,627275.0,62727.5,558188.6,69086.4
C0246,13,41,626495.0,48191.92,558188.6,68306.4
C0454,16,55,624775.0,39048.44,558188.6,66586.4
C0250,8,24,623105.0,77888.13,558188.6,64916.4
C0149,6,16,621150.0,103525.0,558188.6,62961.4
C0077,9,28,618750.0,68750.0,558188.6,60561.4
C0323,12,36,617575.0,51464.58,558188.6,59386.4
C0154,12,26,616760.0,51396.67,558188.6,58571.4
C0285,14,38,615945.0,43996.07,558188.6,57756.4
C0101,10,34,613375.0,61337.5,558188.6,55186.4
C0350,10,32,611500.0,61150.0,558188.6,53311.4
C0091,10,37,611425.0,61142.5,558188.6,53236.4
C0145,13,41,610540.0,46964.62,558188.6,52351.4
C0010,7,20,609875.0,87125.0,558188.6,51686.4
C0212,12,43,607890.0,50657.5,558188.6,49701.4
C0413,11,26,607620.0,55238.18,558188.6,49431.4
C0185,15,44,604450.0,40296.67,558188.6,46261.4
C0226,11,39,602530.0,54775.45,558188.6,44341.4
C0161,13,32,600950.0,46226.92,558188.6,42761.4
C0473,12,42,600050.0,50004.17,558188.6,41861.4
C0418,10,30,597785.0,59778.5,558188.6,39596.4
C0193,8,25,597650.0,74706.25,558188.6,39461.4
C0309,7,20,597150.0,85307.14,558188.6,38961.4
C0360,10,32,593790.0,59379.0,558188.6,35601.4
C0029,7,24,593250.0,84750.0,558188.6,35061.4
C0342,10,22,592475.0,59247.5,558188.6,34286.4
C0152,10,24,586290.0,58629.0,558188.6,28101.4
C0177,11,28,585395.0,53217.73,558188.6,27206.4
C0020,10,22,582170.0,58217.0,558188.6,23981.4
C0284,4,15,580600.0,145150.0,558188.6,22411.4
C0375,8,26,577975.0,72246.88,558188.6,19786.4
C0321,14,47,576775.0,41198.21,558188.6,18586.4
C0251,9,27,574425.0,63825.0,558188.6,16236.4
C0231,12,46,573875.0,47822.92,558188.6,15686.4
C0087,13,46,573175.0,44090.38,558188.6,14986.4
C0354,14,41,573030.0,40930.71,558188.6,14841.4
C0088,9,32,571450.0,63494.44,558188.6,13261.4
C0099,9,25,571100.0,63455.56,558188.6,12911.4
C0089,14,46,568895.0,40635.36,558188.6,10706.4
C0327,10,29,568430.0,56843.0,558188.6,10241.4
C0462,9,28,568275.0,63141.67,558188.6,10086.4
C0430,11,35,563575.0,51234.09,558188.6,5386.4
C0078,8,25,561025.0,70128.13,558188.6,2836.4
C0369,10,30,560080.0,56008.0,558188.6,1891.4
C0287,11,34,558850.0,50804.55,558188.6,661.4
C0494,8,22,555225.0,69403.13,558188.6,-2963.6
C0012,12,35,552880.0,46073.33,558188.6,-5308.6
C0082,9,22,552225.0,61358.33,558188.6,-5963.6
C0131,10,28,550870.0,55087.0,558188.6,-7318.6
C0094,13,47,550600.0,42353.85,558188.6,-7588.6
C0049,12,37,550430.0,45869.17,558188.6,-7758.6
C0485,5,15,550250.0,110050.0,558188.6,-7938.6
C0381,8,24,549850.0,68731.25,558188.6,-8338.6
C0289,11,33,549825.0,49984.09,558188.6,-8363.6
C0438,10,31,549655.0,54965.5,558188.6,-8533.6
C0227,14,40,549215.0,39229.64,558188.6,-8973.6
C0103,14,30,547300.0,39092.86,558188.6,-10888.6
C0146,14,31,545400.0,38957.14,558188.6,-12788.6
C0497,7,28,542290.0,77470.0,558188.6,-15898.6
C0389,10,31,539450.0,53945.0,558188.6,-18738.6
C0017,9,25,539200.0,59911.11,558188.6,-18988.6
C0488,10,27,538300.0,53830.0,558188.6,-19888.6
C0268,6,19,536600.0,89433.33,558188.6,-21588.6
C0340,6,24,536125.0,89354.17,558188.6,-22063.6
C0075,11,33,533940.0,48540.0,558188.6,-24248.6
C0384,11,40,531575.0,48325.0,558188.6,-26613.6
C0198,11,40,531320.0,48301.82,558188.6,-26868.6
C0239,6,23,530750.0,88458.33,558188.6,-27438.6
C0470,11,34,530550.0,48231.82,558188.6,-27638.6
C0361,10,31,526730.0,52673.0,558188.6,-31458.6
C0148,3,10,524250.0,174750.0,558188.6,-33938.6
C0261,9,28,522600.0,58066.67,558188.6,-35588.6
C0423,16,53,521595.0,32599.69,558188.6,-36593.6
C0367,8,25,521450.0,65181.25,558188.6,-36738.6
C0477,9,35,520280.0,57808.89,558188.6,-37908.6
C0090,4,12,519700.0,129925.0,558188.6,-38488.6
C0245,13,38,517920.0,39840.0,558188.6,-40268.6
C0025,8,27,516350.0,64543.75,558188.6,-41838.6
C0403,15,34,515870.0,34391.33,558188.6,-42318.6
C0046,9,26,513600.0,57066.67,558188.6,-44588.6
C0027,8,25,510750.0,63843.75,558188.6,-47438.6
C0248,12,42,508450.0,42370.83,558188.6,-49738.6
C0429,8,24,508000.0,63500.0,558188.6,-50188.6
C0480,7,19,507780.0,72540.0,558188.6,-50408.6
C0352,9,27,504200.0,56022.22,558188.6,-53988.6
C0331,8,23,504000.0,63000.0,558188.6,-54188.6
C0322,7,25,495850.0,70835.71,558188.6,-62338.6
C0045,8,24,493610.0,61701.25,558188.6,-64578.6
C0166,7,21,492600.0,70371.43,558188.6,-65588.6
C0096,8,33,489315.0,61164.38,558188.6,-68873.6
C0008,6,19,488550.0,81425.0,558188.6,-69638.6
C0486,10,33,486535.0,48653.5,558188.6,-71653.6
C0377,9,29,485900.0,53988.89,558188.6,-72288.6
C0178,6,24,484140.0,80690.0,558188.6,-74048.6
C0011,10,32,483650.0,48365.0,558188.6,-74538.6
C0452,12,33,483645.0,40303.75,558188.6,-74543.6
C0229,8,22,482525.0,60315.63,558188.6,-75663.6
C0044,9,26,478625.0,53180.56,558188.6,-79563.6
C0269,10,30,477200.0,47720.0,558188.6,-80988.6
C0023,14,46,476370.0,34026.43,558188.6,-81818.6
C0380,9,24,475760.0,52862.22,558188.6,-82428.6
C0338,10,28,473865.0,47386.5,558188.6,-84323.6
C0391,10,26,472675.0,47267.5,558188.6,-85513.6
C0156,13,41,472235.0,36325.77,558188.6,-85953.6
C0232,11,35,469550.0,42686.36,558188.6,-88638.6
C0394,9,25,468075.0,52008.33,558188.6,-90113.6
C0243,7,27,466300.0,66614.29,558188.6,-91888.6
C0068,7,29,466270.0,66610.0,558188.6,-91918.6
C0278,14,35,464035.0,33145.36,558188.6,-94153.6
C0310,10,24,463710.0,46371.0,558188.6,-94478.6
C0151,8,21,461240.0,57655.0,558188.6,-96948.6
C0404,7,25,456750.0,65250.0,558188.6,-101438.6
C0416,17,47,453995.0,26705.59,558188.6,-104193.6
C0414,13,39,453890.0,34914.62,558188.6,-104298.6
C0450,11,38,451425.0,41038.64,558188.6,-106763.6
C0085,8,26,450470.0,56308.75,558188.6,-107718.6
C0283,11,32,450130.0,40920.91,558188.6,-108058.6
C0341,11,36,450125.0,40920.45,558188.6,-108063.6
C0157,7,28,449655.0,64236.43,558188.6,-108533.6
C0051,13,36,444270.0,34174.62,558188.6,-113918.6
C0293,13,45,443580.0,34121.54,558188.6,-114608.6
C0334,9,28,440950.0,48994.44,558188.6,-117238.6
C0225,9,23,440315.0,48923.89,558188.6,-117873.6
C0196,8,23,439625.0,54953.13,558188.6,-118563.6
C0299,8,20,438500.0,54812.5,558188.6,-119688.6
C0440,7,13,437800.0,62542.86,558188.6,-120388.6
C0453,10,27,437150.0,43715.0,558188.6,-121038.6
C0116,8,19,435610.0,54451.25,558188.6,-122578.6
C0263,11,29,435170.0,39560.91,558188.6,-123018.6
C0028,7,18,432300.0,61757.14,558188.6,-125888.6
C0305,6,21,432070.0,72011.67,558188.6,-126118.6
C0105,12,34,431125.0,35927.08,558188.6,-127063.6
C0387,7,22,428950.0,61278.57,558188.6,-129238.6
C0197,8,28,427940.0,53492.5,558188.6,-130248.6
C0412,10,30,424530.0,42453.0,558188.6,-133658.6
C0174,15,38,424055.0,28270.33,558188.6,-134133.6
C0083,8,20,423250.0,52906.25,558188.6,-134938.6
C0112,7,20,423125.0,60446.43,558188.6,-135063.6
C0303,7,25,421275.0,60182.14,558188.6,-136913.6
C0218,5,20,421000.0,84200.0,558188.6,-137188.6
C0490,10,38,419905.0,41990.5,558188.6,-138283.6
C0042,8,23,419600.0,52450.0,558188.6,-138588.6
C0114,7,25,418100.0,59728.57,558188.6,-140088.6
C0469,10,34,416615.0,41661.5,558188.6,-141573.6
C0242,10,29,415725.0,41572.5,558188.6,-142463.6
C0346,11,35,412625.0,37511.36,558188.6,-145563.6
C0065,6,19,412175.0,68695.83,558188.6,-146013.6
C0271,10,19,412070.0,41207.0,558188.6,-146118.6
C0144,9,23,408725.0,45413.89,558188.6,-149463.6
C0040,9,28,408450.0,45383.33,558188.6,-149738.6
C0095,8,25,408315.0,51039.38,558188.6,-149873.6
C0474,13,38,408305.0,31408.08,558188.6,-149883.6
C0424,9,26,404725.0,44969.44,558188.6,-153463.6
C0079,5,23,403900.0,80780.0,558188.6,-154288.6
C0052,6,17,400735.0,66789.17,558188.6,-157453.6
C0460,9,24,398610.0,44290.0,558188.6,-159578.6
C0362,9,25,397950.0,44216.67,558188.6,-160238.6
C0496,11,31,396680.0,36061.82,558188.6,-161508.6
C0311,9,16,394020.0,43780.0,558188.6,-164168.6
C0317,10,24,393075.0,39307.5,558188.6,-165113.6
C0059,6,26,392925.0,65487.5,558188.6,-165263.6
C0320,6,20,391130.0,65188.33,558188.6,-167058.6
C0171,9,28,390275.0,43363.89,558188.6,-167913.6
C0468,7,18,388475.0,55496.43,558188.6,-169713.6
C0041,9,24,387075.0,43008.33,558188.6,-171113.6
C0206,12,28,385150.0,32095.83,558188.6,-173038.6
C0224,11,26,384200.0,34927.27,558188.6,-173988.6
C0186,13,39,383510.0,29500.77,558188.6,-174678.6
C0270,7,21,382600.0,54657.14,558188.6,-175588.6
C0294,9,26,378230.0,42025.56,558188.6,-179958.6
C0055,7,18,375220.0,53602.86,558188.6,-182968.6
C0236,9,27,372250.0,41361.11,558188.6,-185938.6
C0295,11,35,371075.0,33734.09,558188.6,-187113.6
C0093,9,28,370345.0,41149.44,558188.6,-187843.6
C0434,8,23,369615.0,46201.88,558188.6,-188573.6
C0433,7,25,368175.0,52596.43,558188.6,-190013.6
C0238,9,25,366190.0,40687.78,558188.6,-191998.6
C0140,10,28,365455.0,36545.5,558188.6,-192733.6
C0063,8,27,365200.0,45650.0,558188.6,-192988.6
C0290,8,18,363820.0,45477.5,558188.6,-194368.6
C0014,11,37,361805.0,32891.36,558188.6,-196383.6
C0058,11,27,358970.0,32633.64,558188.6,-199218.6
C0009,8,24,358275.0,44784.38,558188.6,-199913.6
C0461,13,31,357605.0,27508.08,558188.6,-200583.6
C0296,11,36,355745.0,32340.45,558188.6,-202443.6
C0324,10,26,355700.0,35570.0,558188.6,-202488.6
C0066,6,22,355225.0,59204.17,558188.6,-202963.6
C0279,12,35,354310.0,29525.83,558188.6,-203878.6
C0205,6,22,353625.0,58937.5,558188.6,-204563.6
C0265,6,12,349150.0,58191.67,558188.6,-209038.6
C0019,10,27,347620.0,34762.0,558188.6,-210568.6
C0034,14,40,345400.0,24671.43,558188.6,-212788.6
C0306,2,9,344000.0,172000.0,558188.6,-214188.6
C0273,11,32,343990.0,31271.82,558188.6,-214198.6
C0313,13,42,342040.0,26310.77,558188.6,-216148.6
C0333,8,24,341955.0,42744.38,558188.6,-216233.6
C0409,6,17,341315.0,56885.83,558188.6,-216873.6
C0158,8,24,340990.0,42623.75,558188.6,-217198.6
C0276,5,13,340000.0,68000.0,558188.6,-218188.6
C0444,12,26,339430.0,28285.83,558188.6,-218758.6
C0200,7,25,339050.0,48435.71,558188.6,-219138.6
C0125,8,29,338230.0,42278.75,558188.6,-219958.6
C0047,5,14,334400.0,66880.0,558188.6,-223788.6
C0039,4,16,332650.0,83162.5,558188.6,-225538.6
C0386,7,24,332250.0,47464.29,558188.6,-225938.6
C0160,7,22,332075.0,47439.29,558188.6,-226113.6
C0330,7,21,328725.0,46960.71,558188.6,-229463.6
C0035,14,31,328680.0,23477.14,558188.6,-229508.6
C0070,7,13,328580.0,46940.0,558188.6,-229608.6
C0217,6,20,328090.0,54681.67,558188.6,-230098.6
C0358,10,26,324075.0,32407.5,558188.6,-234113.6
C0282,13,34,323935.0,24918.08,558188.6,-234253.6
C0366,12,29,323670.0,26972.5,558188.6,-234518.6
C0489,10,32,318400.0,31840.0,558188.6,-239788.6
C0382,8,29,318280.0,39785.0,558188.6,-239908.6
C0113,6,15,313620.0,52270.0,558188.6,-244568.6
C0210,8,22,311160.0,38895.0,558188.6,-247028.6
C0086,5,19,306400.0,61280.0,558188.6,-251788.6
C0223,7,22,306250.0,43750.0,558188.6,-251938.6
C0291,7,21,306200.0,43742.86,558188.6,-251988.6
C0365,13,35,302865.0,23297.31,558188.6,-255323.6
C0002,9,24,300600.0,33400.0,558188.6,-257588.6
C0459,10,30,299370.0,29937.0,558188.6,-258818.6
C0337,10,29,298475.0,29847.5,558188.6,-259713.6
C0371,8,20,297260.0,37157.5,558188.6,-260928.6
C0062,8,20,295210.0,36901.25,558188.6,-262978.6
C0084,7,18,294020.0,42002.86,558188.6,-264168.6
C0139,7,22,293975.0,41996.43,558188.6,-264213.6
C0255,10,29,293475.0,29347.5,558188.6,-264713.6
C0064,6,16,291250.0,48541.67,558188.6,-266938.6
C0348,6,18,289825.0,48304.17,558188.6,-268363.6
C0332,7,20,288600.0,41228.57,558188.6,-269588.6
C0132,8,25,288070.0,36008.75,558188.6,-270118.6
C0498,9,28,287920.0,31991.11,558188.6,-270268.6
C0211,6,17,286775.0,47795.83,558188.6,-271413.6
C0420,7,16,284175.0,40596.43,558188.6,-274013.6
C0447,13,32,283845.0,21834.23,558188.6,-274343.6
C0376,8,22,283310.0,35413.75,558188.6,-274878.6
C0308,7,20,281475.0,40210.71,558188.6,-276713.6
C0363,7,19,278410.0,39772.86,558188.6,-279778.6
C0204,10,25,272930.0,27293.0,558188.6,-285258.6
C0254,6,21,270925.0,45154.17,558188.6,-287263.6
C0071,8,25,269650.0,33706.25,558188.6,-288538.6
C0267,14,35,267735.0,19123.93,558188.6,-290453.6
C0188,9,24,266700.0,29633.33,558188.6,-291488.6
C0249,10,28,265595.0,26559.5,558188.6,-292593.6
C0471,10,25,264640.0,26464.0,558188.6,-293548.6
C0024,7,21,263000.0,37571.43,558188.6,-295188.6
C0155,8,18,262635.0,32829.38,558188.6,-295553.6
C0260,9,26,261845.0,29093.89,558188.6,-296343.6
C0106,7,23,260470.0,37210.0,558188.6,-297718.6
C0373,8,15,256600.0,32075.0,558188.6,-301588.6
C0124,4,11,254600.0,63650.0,558188.6,-303588.6
C0399,9,16,249560.0,27728.89,558188.6,-308628.6
C0368,14,26,244880.0,17491.43,558188.6,-313308.6
C0400,7,14,242775.0,34682.14,558188.6,-315413.6
C0133,11,26,242300.0,22027.27,558188.6,-315888.6
C0183,11,29,242210.0,22019.09,558188.6,-315978.6
C0483,9,18,241690.0,26854.44,558188.6,-316498.6
C0484,8,26,239125.0,29890.63,558188.6,-319063.6
C0344,7,23,238465.0,34066.43,558188.6,-319723.6
C0397,7,13,237500.0,33928.57,558188.6,-320688.6
C0357,5,11,236075.0,47215.0,558188.6,-322113.6
C0076,7,26,234950.0,33564.29,558188.6,-323238.6
C0259,9,21,234325.0,26036.11,558188.6,-323863.6
C0401,7,18,231985.0,33140.71,558188.6,-326203.6
C0136,7,18,231860.0,33122.86,558188.6,-326328.6
C0329,8,21,231050.0,28881.25,558188.6,-327138.6
C0277,9,30,230750.0,25638.89,558188.6,-327438.6
C0328,6,21,228745.0,38124.17,558188.6,-329443.6
C0130,8,19,227075.0,28384.38,558188.6,-331113.6
C0464,9,18,226700.0,25188.89,558188.6,-331488.6
C0426,9,20,226200.0,25133.33,558188.6,-331988.6
C0241,8,19,221800.0,27725.0,558188.6,-336388.6
C0137,10,26,205130.0,20513.0,558188.6,-353058.6
C0167,9,26,204675.0,22741.67,558188.6,-353513.6
C0446,9,27,198910.0,22101.11,558188.6,-359278.6
C0006,6,14,193350.0,32225.0,558188.6,-364838.6
C0134,11,37,192425.0,17493.18,558188.6,-365763.6
C0201,9,27,191825.0,21313.89,558188.6,-366363.6
C0007,7,13,191625.0,27375.0,558188.6,-366563.6
C0463,11,34,187375.0,17034.09,558188.6,-370813.6
C0475,8,18,185475.0,23184.38,558188.6,-372713.6
C0092,9,24,184545.0,20505.0,558188.6,-373643.6
C0262,6,10,184525.0,30754.17,558188.6,-373663.6
C0407,8,15,182625.0,22828.13,558188.6,-375563.6
C0499,4,13,181700.0,45425.0,558188.6,-376488.6
C0465,7,18,181375.0,25910.71,558188.6,-376813.6
C0345,10,19,180510.0,18051.0,558188.6,-377678.6
C0191,8,20,179050.0,22381.25,558188.6,-379138.6
C0073,8,14,174330.0,21791.25,558188.6,-383858.6
C0449,4,13,173500.0,43375.0,558188.6,-384688.6
C0032,9,25,172160.0,19128.89,558188.6,-386028.6
C0247,4,6,158260.0,39565.0,558188.6,-399928.6
C0038,8,24,152670.0,19083.75,558188.6,-405518.6
C0288,9,23,152500.0,16944.44,558188.6,-405688.6
C0122,7,18,150260.0,21465.71,558188.6,-407928.6
C0173,3,7,144000.0,48000.0,558188.6,-414188.6
C0170,4,12,142925.0,35731.25,558188.6,-415263.6
C0466,14,44,137300.0,9807.14,558188.6,-420888.6
C0001,7,20,135820.0,19402.86,558188.6,-422368.6
C0097,8,24,130900.0,16362.5,558188.6,-427288.6
C0356,9,34,127550.0,14172.22,558188.6,-430638.6
C0343,8,28,127065.0,15883.13,558188.6,-431123.6
C0347,5,9,120580.0,24116.0,558188.6,-437608.6
C0315,7,20,115140.0,16448.57,558188.6,-443048.6
C0015,5,8,110600.0,22120.0,558188.6,-447588.6
C0396,6,22,108625.0,18104.17,558188.6,-449563.6
C0385,7,22,107650.0,15378.57,558188.6,-450538.6
