customer_id,category,transaction_count,units_sold,category_revenue,customer_lifetime_revenue
C0069,Electronics,8,27,862500.0,870400.0
C0439,Electronics,6,20,859500.0,875035.0
C0339,Electronics,7,23,858750.0,873550.0
C0184,Electronics,9,24,857500.0,920310.0
C0398,Electronics,5,19,854500.0,870750.0
C0411,Electronics,7,26,852250.0,882955.0
C0003,Electronics,8,25,851750.0,878500.0
C0237,Electronics,7,23,851250.0,868100.0
C0043,Electronics,6,19,847000.0,875650.0
C0176,Electronics,6,23,838750.0,876835.0
C0194,Electronics,9,29,835000.0,858970.0
C0100,Electronics,8,22,832750.0,844650.0
C0500,Electronics,7,21,831250.0,848875.0
C0495,Electronics,9,26,831000.0,855550.0
C0048,Electronics,6,22,828000.0,871975.0
C0402,Electronics,4,17,823250.0,853770.0
C0349,Electronics,7,21,822500.0,831620.0
C0286,Electronics,5,18,821750.0,891275.0
C0252,Electronics,6,19,819500.0,864575.0
C0491,Electronics,6,17,817250.0,832500.0
C0054,Electronics,7,24,815750.0,836500.0
C0199,Electronics,6,20,810500.0,846310.0
C0195,Electronics,7,26,793750.0,848325.0
C0081,Electronics,7,23,793500.0,798725.0
C0353,Electronics,4,16,790500.0,812905.0
C0304,Electronics,6,23,788250.0,825355.0
C0168,Electronics,5,18,783250.0,790825.0
C0213,Electronics,7,21,782250.0,783850.0
C0233,Electronics,7,19,777500.0,788610.0
C0441,Electronics,3,15,775000.0,836075.0
C0060,Electronics,7,20,772750.0,793650.0
C0421,Electronics,7,23,771250.0,771250.0
C0478,Electronics,5,16,762250.0,780460.0
C0336,Electronics,7,25,761500.0,807460.0
C0111,Electronics,6,21,759250.0,788665.0
C0208,Electronics,6,19,758000.0,793650.0
C0428,Electronics,5,21,753500.0,835775.0
C0240,Electronics,6,20,752250.0,758030.0
C0203,Electronics,5,17,749500.0,788605.0
C0108,Electronics,8,22,748500.0,771070.0
C0115,Electronics,9,23,747250.0,807315.0
C0221,Electronics,8,23,746000.0,781375.0
C0150,Electronics,8,24,744250.0,797150.0
C0325,Electronics,8,21,740750.0,764475.0
C0390,Electronics,9,29,740250.0,801785.0
C0104,Electronics,8,25,740000.0,772270.0
C0182,Electronics,6,19,739500.0,766815.0
C0427,Electronics,7,23,733250.0,740050.0
C0031,Electronics,6,19,732250.0,767600.0
C0192,Electronics,8,24,732250.0,750075.0
C0216,Electronics,6,14,727000.0,733000.0
C0388,Electronics,6,19,725750.0,737250.0
C0445,Electronics,7,20,724750.0,746175.0
C0405,Electronics,8,17,723250.0,795650.0
C0138,Electronics,5,19,717250.0,770345.0
C0425,Electronics,10,22,714000.0,727750.0
C0393,Electronics,5,18,711000.0,718400.0
C0126,Electronics,5,18,710250.0,759475.0
C0222,Electronics,7,19,709750.0,741490.0
C0383,Electronics,9,26,707250.0,732250.0
C0074,Electronics,8,18,704000.0,710125.0
C0056,Electronics,8,22,699750.0,732600.0
C0021,Electronics,7,24,694250.0,719755.0
C0316,Electronics,6,19,693750.0,743700.0
C0118,Electronics,6,15,690250.0,752035.0
C0355,Electronics,5,19,688500.0,732450.0
C0179,Electronics,7,22,687750.0,714475.0
C0431,Electronics,8,27,686500.0,703510.0
C0457,Electronics,7,19,686500.0,722890.0
C0301,Electronics,4,17,682250.0,694850.0
C0280,Electronics,3,15,678750.0,710025.0
C0451,Electronics,5,16,678500.0,687500.0
C0372,Electronics,6,17,676250.0,687600.0
C0153,Electronics,5,24,672000.0,703500.0
C0455,Electronics,9,25,671500.0,680700.0
C0370,Electronics,5,16,662250.0,689500.0
C0253,Electronics,9,27,651250.0,681430.0
C0235,Electronics,5,15,650750.0,675910.0
C0128,Electronics,6,17,650000.0,675970.0
C0257,Electronics,8,24,644250.0,656500.0
C0219,Electronics,7,19,642750.0,691000.0
C0228,Electronics,6,22,642250.0,666065.0
C0202,Electronics,6,15,640750.0,668025.0
C0493,Electronics,5,20,639000.0,657500.0
C0230,Electronics,7,23,627750.0,648000.0
C0175,Electronics,5,17,626750.0,642775.0
C0314,Electronics,4,14,621250.0,637200.0
C0209,Electronics,5,17,620500.0,637900.0
C0147,Electronics,6,21,619000.0,642330.0
C0359,Electronics,5,17,617000.0,666145.0
C0422,Electronics,6,19,613750.0,668325.0
C0149,Electronics,4,12,613250.0,621150.0
C0250,Electronics,5,18,612750.0,623105.0
C0036,Electronics,5,17,612000.0,669475.0
C0162,Electronics,4,16,611000.0,628790.0
C0481,Electronics,6,15,607750.0,641300.0
C0264,Electronics,7,20,607250.0,633670.0
C0395,Electronics,5,18,605000.0,627275.0
C0154,Electronics,6,15,599250.0,616760.0
C0010,Electronics,4,14,598000.0,609875.0
C0309,Electronics,6,18,593750.0,597150.0
C0476,Electronics,7,25,591250.0,634880.0
C0101,Electronics,8,24,590250.0,613375.0
C0187,Electronics,5,16,589500.0,667225.0
C0029,Electronics,6,22,589250.0,593250.0
C0142,Electronics,5,17,588500.0,637415.0
C0077,Electronics,6,16,587750.0,618750.0
C0364,Electronics,3,14,587750.0,637125.0
C0350,Electronics,6,18,587000.0,611500.0
C0107,Electronics,7,19,585250.0,641050.0
C0392,Electronics,5,19,584750.0,632210.0
C0165,Electronics,5,14,583250.0,639625.0
C0226,Electronics,6,20,582750.0,602530.0
C0413,Electronics,5,10,582000.0,607620.0
C0323,Electronics,6,15,580500.0,617575.0
C0033,Electronics,4,12,579500.0,679630.0
C0193,Electronics,4,12,575500.0,597650.0
C0360,Electronics,7,20,574250.0,593790.0
C0152,Electronics,6,16,573250.0,586290.0
C0246,Electronics,5,14,573000.0,626495.0
C0285,Electronics,6,15,572000.0,615945.0
C0185,Electronics,8,28,570750.0,604450.0
C0145,Electronics,6,14,570500.0,610540.0
C0091,Electronics,4,13,570250.0,611425.0
C0284,Electronics,2,9,568750.0,580600.0
C0342,Electronics,6,13,568750.0,592475.0
C0298,Electronics,6,18,565250.0,627750.0
C0020,Electronics,6,13,563750.0,582170.0
C0161,Electronics,6,16,561250.0,600950.0
C0177,Electronics,4,15,558750.0,585395.0
C0212,Electronics,4,14,558000.0,607890.0
C0418,Electronics,4,12,557500.0,597785.0
C0454,Electronics,7,22,556000.0,624775.0
C0327,Electronics,7,20,554750.0,568430.0
C0099,Electronics,6,17,553000.0,571100.0
C0375,Electronics,6,17,550500.0,577975.0
C0485,Electronics,5,15,550250.0,550250.0
C0251,Electronics,5,15,544500.0,574425.0
C0494,Electronics,6,18,544500.0,555225.0
C0473,Electronics,6,19,538000.0,600050.0
C0462,Electronics,4,12,536750.0,568275.0
C0053,Electronics,5,17,535750.0,649930.0
C0078,Electronics,5,14,533000.0,561025.0
C0354,Electronics,5,17,530000.0,573030.0
C0082,Electronics,6,13,529500.0,552225.0
C0369,Electronics,6,17,529500.0,560080.0
C0497,Electronics,4,15,528250.0,542290.0
C0088,Electronics,3,13,526250.0,571450.0
C0131,Electronics,4,12,525250.0,550870.0
C0148,Electronics,3,10,524250.0,524250.0
C0430,Electronics,5,14,523750.0,563575.0
C0012,Electronics,7,19,523000.0,552880.0
C0017,Electronics,7,19,522250.0,539200.0
C0146,Electronics,8,20,521250.0,545400.0
C0389,Electronics,6,21,516000.0,539450.0
C0094,Electronics,5,20,515750.0,550600.0
C0340,Electronics,4,14,515750.0,536125.0
C0488,Electronics,7,18,515500.0,538300.0
C0103,Electronics,6,14,514750.0,547300.0
C0287,Electronics,6,15,514250.0,558850.0
C0381,Electronics,4,11,514250.0,549850.0
C0090,Electronics,3,10,513750.0,519700.0
C0268,Electronics,3,12,513750.0,536600.0
C0089,Electronics,5,17,512250.0,568895.0
C0087,Electronics,5,16,511500.0,573175.0
C0049,Electronics,4,13,510500.0,550430.0
C0438,Electronics,5,16,510500.0,549655.0
C0361,Electronics,6,21,507000.0,526730.0
C0227,Electronics,5,13,506250.0,549215.0
C0321,Electronics,5,11,506250.0,576775.0
C0429,Electronics,6,22,505500.0,508000.0
C0261,Electronics,5,17,501000.0,522600.0
C0027,Electronics,6,20,499250.0,510750.0
C0480,Electronics,4,12,498000.0,507780.0
C0046,Electronics,6,19,496750.0,513600.0
C0239,Electronics,2,10,495000.0,530750.0
C0367,Electronics,5,15,494750.0,521450.0
C0331,Electronics,6,18,493250.0,504000.0
C0289,Electronics,5,12,492000.0,549825.0
C0403,Electronics,8,18,491250.0,515870.0
C0075,Electronics,3,11,491000.0,533940.0
C0231,Electronics,3,11,489250.0,573875.0
C0384,Electronics,6,23,489000.0,531575.0
C0198,Electronics,4,16,486500.0,531320.0
C0025,Electronics,4,13,482500.0,516350.0
C0045,Electronics,4,13,481250.0,493610.0
C0470,Electronics,5,13,480250.0,530550.0
C0477,Electronics,3,11,480250.0,520280.0
C0166,Electronics,6,17,480000.0,492600.0
C0322,Electronics,4,11,475250.0,495850.0
C0248,Electronics,7,20,471750.0,508450.0
C0008,Electronics,3,12,471000.0,488550.0
C0352,Electronics,4,12,471000.0,504200.0
C0380,Electronics,5,13,457500.0,475760.0
C0011,Electronics,5,17,456000.0,483650.0
C0229,Electronics,5,13,456000.0,482525.0
C0486,Electronics,4,13,455250.0,486535.0
C0245,Electronics,4,11,454750.0,517920.0
C0377,Electronics,5,16,454500.0,485900.0
C0178,Electronics,2,9,452500.0,484140.0
C0151,Electronics,5,13,452000.0,461240.0
C0391,Electronics,5,16,451000.0,472675.0
C0044,Electronics,4,13,450500.0,478625.0
C0096,Electronics,3,13,448750.0,489315.0
C0243,Electronics,4,17,447000.0,466300.0
C0423,Electronics,7,18,446750.0,521595.0
C0338,Electronics,4,14,444000.0,473865.0
C0394,Electronics,5,12,440500.0,468075.0
C0452,Electronics,4,10,439000.0,483645.0
C0068,Electronics,3,13,437500.0,466270.0
C0269,Electronics,4,14,437000.0,477200.0
C0440,Electronics,6,12,437000.0,437800.0
C0310,Electronics,5,12,435000.0,463710.0
C0404,Electronics,5,16,429750.0,456750.0
C0305,Electronics,4,18,428750.0,432070.0
C0085,Electronics,3,10,425250.0,450470.0
C0453,Electronics,4,11,422250.0,437150.0
C0299,Electronics,5,11,421250.0,438500.0
C0156,Electronics,5,15,419750.0,472235.0
C0023,Electronics,4,16,418500.0,476370.0
C0218,Electronics,4,15,417000.0,421000.0
C0197,Electronics,5,17,415500.0,427940.0
C0028,Electronics,4,12,414500.0,432300.0
C0414,Electronics,4,16,414000.0,453890.0
C0116,Electronics,4,10,413750.0,435610.0
C0051,Electronics,6,17,413500.0,444270.0
C0278,Electronics,6,13,413500.0,464035.0
C0083,Electronics,7,16,413250.0,423250.0
C0157,Electronics,3,14,413250.0,449655.0
C0334,Electronics,6,19,412500.0,440950.0
C0112,Electronics,5,15,412000.0,423125.0
C0283,Electronics,4,14,411500.0,450130.0
C0263,Electronics,6,13,410000.0,435170.0
C0114,Electronics,4,10,406500.0,418100.0
C0412,Electronics,6,19,404250.0,424530.0
C0232,Electronics,4,10,403500.0,469550.0
C0042,Electronics,4,10,403000.0,419600.0
C0387,Electronics,4,12,403000.0,428950.0
C0341,Electronics,5,12,401250.0,450125.0
C0196,Electronics,3,8,400750.0,439625.0
C0271,Electronics,7,14,400750.0,412070.0
C0225,Electronics,2,8,400500.0,440315.0
C0293,Electronics,4,17,399000.0,443580.0
C0052,Electronics,3,9,393000.0,400735.0
C0450,Electronics,4,13,391750.0,451425.0
C0079,Electronics,3,13,391000.0,403900.0
C0303,Electronics,3,13,391000.0,421275.0
C0040,Electronics,3,11,390750.0,408450.0
C0065,Electronics,3,10,388000.0,412175.0
C0311,Electronics,6,11,387000.0,394020.0
C0095,Electronics,3,9,382750.0,408315.0
C0416,Electronics,7,13,382500.0,453995.0
C0105,Electronics,5,12,380250.0,431125.0
C0424,Electronics,3,11,377750.0,404725.0
C0242,Electronics,5,14,377500.0,415725.0
C0490,Electronics,4,15,377250.0,419905.0
C0059,Electronics,4,18,375000.0,392925.0
C0174,Electronics,5,10,375000.0,424055.0
C0469,Electronics,4,10,374500.0,416615.0
C0144,Electronics,4,10,374000.0,408725.0
C0496,Electronics,5,15,369500.0,396680.0
C0468,Electronics,2,9,369000.0,388475.0
C0460,Electronics,4,10,368750.0,398610.0
C0055,Electronics,5,12,368500.0,375220.0
C0320,Electronics,2,7,367000.0,391130.0
C0317,Electronics,7,13,366500.0,393075.0
C0041,Electronics,5,12,362000.0,387075.0
C0294,Electronics,5,12,360500.0,378230.0
C0362,Electronics,3,8,360000.0,397950.0
C0474,Electronics,6,12,356500.0,408305.0
C0224,Electronics,6,12,352500.0,384200.0
C0346,Electronics,4,11,351750.0,412625.0
C0270,Electronics,2,6,351000.0,382600.0
C0206,Electronics,5,10,348500.0,385150.0
C0186,Electronics,5,19,348250.0,383510.0
C0306,Electronics,2,9,344000.0,344000.0
C0093,Electronics,3,13,343000.0,370345.0
C0433,Electronics,4,14,343000.0,368175.0
C0236,Electronics,4,13,341500.0,372250.0
C0171,Electronics,3,9,341000.0,390275.0
C0434,Electronics,3,11,340000.0,369615.0
C0265,Electronics,4,8,339250.0,349150.0
C0276,Electronics,4,11,335500.0,340000.0
C0238,Electronics,4,10,334000.0,366190.0
C0290,Electronics,4,6,334000.0,363820.0
C0205,Electronics,4,15,333000.0,353625.0
C0047,Electronics,4,9,331000.0,334400.0
C0140,Electronics,5,13,331000.0,365455.0
C0014,Electronics,5,17,330250.0,361805.0
C0295,Electronics,4,11,329500.0,371075.0
C0279,Electronics,6,20,328250.0,354310.0
C0019,Electronics,5,14,327250.0,347620.0
C0058,Electronics,3,9,327000.0,358970.0
C0461,Electronics,4,10,325000.0,357605.0
C0070,Electronics,5,10,324500.0,328580.0
C0409,Electronics,3,8,324000.0,341315.0
C0200,Electronics,4,15,323750.0,339050.0
C0039,Electronics,2,8,322500.0,332650.0
C0066,Electronics,2,10,322500.0,355225.0
C0063,Electronics,3,7,321000.0,365200.0
C0324,Electronics,5,9,320000.0,355700.0
C0009,Electronics,4,10,316000.0,358275.0
C0125,Electronics,3,11,315000.0,338230.0
C0296,Electronics,5,14,311250.0,355745.0
C0217,Electronics,1,5,308750.0,328090.0
C0444,Electronics,6,10,308250.0,339430.0
C0330,Electronics,4,12,308000.0,328725.0
C0158,Electronics,4,8,307750.0,340990.0
C0160,Electronics,3,8,305500.0,332075.0
C0358,Electronics,4,14,303750.0,324075.0
C0086,Electronics,4,17,303000.0,306400.0
C0386,Electronics,2,9,302000.0,332250.0
C0333,Electronics,4,7,299750.0,341955.0
C0210,Electronics,4,12,295500.0,311160.0
C0113,Electronics,2,5,294000.0,313620.0
C0034,Electronics,5,13,293250.0,345400.0
C0035,Electronics,6,12,288750.0,328680.0
C0382,Electronics,3,11,288000.0,318280.0
C0366,Electronics,4,8,287000.0,323670.0
C0062,Electronics,5,10,284750.0,295210.0
C0282,Electronics,4,6,280750.0,323935.0
C0223,Electronics,3,11,278750.0,306250.0
C0273,Electronics,4,7,278500.0,343990.0
C0371,Electronics,4,12,278500.0,297260.0
C0064,Electronics,3,8,276000.0,291250.0
C0211,Electronics,4,11,274250.0,286775.0
C0332,Electronics,4,8,272000.0,288600.0
C0084,Electronics,2,6,266250.0,294020.0
C0291,Electronics,3,8,263500.0,306200.0
C0363,Electronics,4,12,262500.0,278410.0
C0489,Electronics,5,12,260750.0,318400.0
C0348,Electronics,3,7,259500.0,289825.0
C0376,Electronics,4,10,259500.0,283310.0
C0002,Electronics,3,8,259000.0,300600.0
C0459,Electronics,5,13,258750.0,299370.0
C0308,Electronics,4,10,258500.0,281475.0
C0420,Electronics,4,7,258250.0,284175.0
C0313,Electronics,3,5,257250.0,342040.0
C0139,Electronics,3,5,255500.0,293975.0
C0255,Electronics,4,11,251250.0,293475.0
C0132,Electronics,2,8,249000.0,288070.0
C0337,Electronics,4,11,249000.0,298475.0
C0365,Electronics,3,7,245000.0,302865.0
C0373,Electronics,3,8,245000.0,256600.0
C0498,Electronics,3,10,245000.0,287920.0
C0204,Electronics,4,8,243750.0,272930.0
C0471,Electronics,4,8,243750.0,264640.0
C0124,Electronics,3,7,242000.0,254600.0
C0155,Electronics,4,7,240750.0,262635.0
C0188,Electronics,4,8,237500.0,266700.0
C0071,Electronics,3,9,236000.0,269650.0
C0249,Electronics,5,13,234750.0,265595.0
C0254,Electronics,1,4,234000.0,270925.0
C0399,Electronics,5,7,234000.0,249560.0
C0106,Electronics,2,8,233250.0,260470.0
C0260,Electronics,3,8,229500.0,261845.0
C0357,Electronics,3,7,228000.0,236075.0
C0447,Electronics,5,6,226500.0,283845.0
C0397,Electronics,3,7,226000.0,237500.0
C0024,Electronics,4,9,224500.0,263000.0
C0483,Electronics,5,9,220250.0,241690.0
C0400,Electronics,3,6,218500.0,242775.0
C0267,Electronics,5,7,216250.0,267735.0
C0464,Electronics,6,13,216000.0,226700.0
C0136,Electronics,4,9,214500.0,231860.0
C0133,Electronics,4,9,211250.0,242300.0
C0344,Electronics,3,9,211000.0,238465.0
C0401,Electronics,3,7,210000.0,231985.0
C0130,Electronics,4,13,209250.0,227075.0
C0368,Electronics,4,7,209250.0,244880.0
C0329,Electronics,4,9,209000.0,231050.0
C0259,Electronics,4,9,203500.0,234325.0
C0277,Electronics,3,7,195000.0,230750.0
C0328,Electronics,1,3,195000.0,228745.0
C0076,Electronics,2,7,194750.0,234950.0
C0426,Electronics,4,4,193750.0,226200.0
C0183,Electronics,4,8,192750.0,242210.0
C0241,Electronics,3,6,191000.0,221800.0
C0137,Electronics,5,11,178750.0,205130.0
C0484,Electronics,2,3,178750.0,239125.0
C0407,Electronics,5,9,175250.0,182625.0
C0007,Electronics,3,5,175000.0,191625.0
C0262,Electronics,4,6,175000.0,184525.0
C0006,Electronics,4,6,174250.0,193350.0
C0446,Electronics,2,8,171750.0,198910.0
C0499,Electronics,2,8,171000.0,181700.0
C0345,Electronics,4,8,167000.0,180510.0
C0201,Electronics,3,7,162750.0,191825.0
C0475,Electronics,3,9,161000.0,185475.0
C0073,Electronics,5,7,158500.0,174330.0
C0465,Electronics,2,3,155000.0,181375.0
C0167,Electronics,4,7,153500.0,204675.0
C0032,Electronics,3,11,151500.0,172160.0
C0247,Electronics,2,3,150500.0,158260.0
C0449,Electronics,2,4,150500.0,173500.0
C0463,Electronics,2,5,150000.0,187375.0
C0191,Electronics,4,8,148500.0,179050.0
C0092,Electronics,1,4,144000.0,184545.0
C0173,Electronics,3,7,144000.0,144000.0
C0134,Electronics,1,3,120000.0,192425.0
C0122,Electronics,2,5,118250.0,150260.0
C0170,Electronics,1,2,117000.0,142925.0
C0053,Accessories,12,41,114180.0,649930.0
C0347,Electronics,2,4,112500.0,120580.0
C0288,Electronics,1,3,108000.0,152500.0
C0038,Electronics,1,3,102000.0,152670.0
C0033,Accessories,14,43,100130.0,679630.0
C0015,Electronics,2,3,98000.0,110600.0
C0001,Electronics,2,3,97000.0,135820.0
C0005,Electronics,3,6,94500.0,100500.0
C0097,Electronics,3,7,94500.0,130900.0
C0315,Electronics,2,3,94000.0,115140.0
C0207,Electronics,2,3,88500.0,107175.0
C0435,Electronics,2,5,85500.0,104440.0
C0313,Accessories,10,37,84790.0,342040.0
C0231,Accessories,9,35,84625.0,573875.0
C0281,Electronics,2,3,84000.0,98030.0
C0159,Accessories,14,38,83725.0,1382975.0
C0428,Accessories,9,37,82275.0,835775.0
C0356,Electronics,2,6,81750.0,127550.0
C0466,Accessories,12,40,81050.0,137300.0
C0374,Accessories,11,36,80235.0,1210735.0
C0297,Accessories,9,32,79350.0,1076100.0
C0187,Accessories,10,33,77725.0,667225.0
C0343,Electronics,1,5,75000.0,127065.0
C0423,Accessories,9,35,74845.0,521595.0
C0456,Accessories,9,27,73475.0,1319975.0
C0134,Accessories,10,34,72425.0,192425.0
C0405,Accessories,8,30,72400.0,795650.0
C0416,Accessories,10,34,71495.0,453995.0
C0396,Electronics,1,5,71250.0,108625.0
C0321,Accessories,9,36,70525.0,576775.0
C0172,Electronics,2,4,69750.0,104200.0
C0286,Accessories,10,29,69525.0,891275.0
C0454,Accessories,9,33,68775.0,624775.0
C0232,Accessories,7,25,66050.0,469550.0
C0479,Accessories,12,33,65995.0,946495.0
C0273,Accessories,7,25,65490.0,343990.0
C0013,Accessories,8,27,65300.0,1132800.0
C0067,Accessories,9,29,63745.0,1148245.0
C0245,Accessories,9,27,63170.0,517920.0
C0184,Accessories,11,29,62810.0,920310.0
C0298,Accessories,8,27,62500.0,627750.0
C0473,Accessories,6,23,62050.0,600050.0
C0118,Accessories,13,34,61785.0,752035.0
C0087,Accessories,8,30,61675.0,573175.0
C0390,Accessories,11,27,61535.0,801785.0
C0072,Electronics,2,2,61500.0,86800.0
C0335,Accessories,11,33,61135.0,1173135.0
C0441,Accessories,10,30,61075.0,836075.0
C0346,Accessories,7,24,60875.0,412625.0
C0484,Accessories,6,23,60375.0,239125.0
C0115,Accessories,8,30,60065.0,807315.0
C0450,Accessories,7,25,59675.0,451425.0
C0109,Accessories,7,23,59550.0,1020550.0
C0023,Accessories,10,30,57870.0,476370.0
C0365,Accessories,10,28,57865.0,302865.0
C0289,Accessories,6,21,57825.0,549825.0
C0489,Accessories,5,20,57650.0,318400.0
C0036,Accessories,11,28,57475.0,669475.0
C0037,Accessories,7,22,57350.0,1134350.0
C0447,Accessories,8,26,57345.0,283845.0
C0089,Accessories,9,29,56645.0,568895.0
C0165,Accessories,6,19,56375.0,639625.0
C0466,Electronics,2,4,56250.0,137300.0
C0107,Accessories,7,21,55800.0,641050.0
C0385,Electronics,2,3,55500.0,107650.0
C0195,Accessories,8,21,54575.0,848325.0
C0422,Accessories,7,25,54575.0,668325.0
C0022,Electronics,1,4,54000.0,76675.0
C0482,Accessories,6,18,53575.0,1118325.0
C0246,Accessories,8,27,53495.0,626495.0
C0169,Accessories,8,26,53175.0,68175.0
C0138,Accessories,6,23,53095.0,770345.0
C0150,Accessories,6,19,52900.0,797150.0
C0220,Electronics,2,3,52500.0,79190.0
C0492,Accessories,8,26,52500.0,941000.0
C0156,Accessories,8,26,52485.0,472235.0
C0034,Accessories,9,27,52150.0,345400.0
C0385,Accessories,5,19,52150.0,107650.0
C0343,Accessories,7,23,52065.0,127065.0
C0474,Accessories,7,26,51805.0,408305.0
C0267,Accessories,9,28,51485.0,267735.0
C0167,Accessories,5,19,51175.0,204675.0
C0487,Electronics,1,4,51000.0,84200.0
C0105,Accessories,7,22,50875.0,431125.0
C0038,Accessories,7,21,50670.0,152670.0
C0278,Accessories,8,22,50535.0,464035.0
C0470,Accessories,6,21,50300.0,530550.0
C0316,Accessories,4,17,49950.0,743700.0
C0212,Accessories,8,29,49890.0,607890.0
C0337,Accessories,6,18,49475.0,298475.0
C0183,Accessories,7,21,49460.0,242210.0
C0364,Accessories,6,21,49375.0,637125.0
C0171,Accessories,6,19,49275.0,390275.0
C0126,Accessories,5,21,49225.0,759475.0
C0359,Accessories,11,26,49145.0,666145.0
C0174,Accessories,10,28,49055.0,424055.0
C0142,Accessories,8,20,48915.0,637415.0
C0341,Accessories,6,24,48875.0,450125.0
C0219,Accessories,7,22,48250.0,691000.0
C0392,Accessories,6,18,47460.0,632210.0
C0443,Accessories,7,22,46950.0,1212950.0
C0336,Accessories,8,24,45960.0,807460.0
C0410,Accessories,7,24,45880.0,1526130.0
C0356,Accessories,7,28,45800.0,127550.0
C0164,Accessories,7,18,45425.0,926425.0
C0088,Accessories,6,19,45200.0,571450.0
C0252,Accessories,7,26,45075.0,864575.0
C0214,Electronics,1,3,45000.0,59620.0
C0198,Accessories,7,24,44820.0,531320.0
C0452,Accessories,8,23,44645.0,483645.0
C0274,Accessories,7,19,44610.0,1105360.0
C0287,Accessories,5,19,44600.0,558850.0
C0293,Accessories,9,28,44580.0,443580.0
C0288,Accessories,8,20,44500.0,152500.0
C0296,Accessories,6,22,44495.0,355745.0
C0063,Accessories,5,20,44200.0,365200.0
C0048,Accessories,6,19,43975.0,871975.0
C0355,Accessories,8,21,43950.0,732450.0
C0285,Accessories,8,23,43945.0,615945.0
C0476,Accessories,6,19,43630.0,634880.0
C0282,Accessories,9,28,43185.0,323935.0
C0120,Accessories,6,19,43090.0,1000590.0
C0354,Accessories,9,24,43030.0,573030.0
C0227,Accessories,9,27,42965.0,549215.0
C0075,Accessories,8,22,42940.0,533940.0
C0498,Accessories,6,18,42920.0,287920.0
C0291,Accessories,4,13,42700.0,306200.0
C0490,Accessories,6,23,42655.0,419905.0
