customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
C0116,112,8,435610.0,1,2,2,122,Hibernating
C0117,4,12,1104810.0,5,4,5,545,Champions
C0118,35,19,752035.0,3,5,4,354,Loyal Customers
C0119,26,13,1076875.0,4,4,5,445,Champions
C0120,29,13,1000590.0,3,4,5,345,Loyal Customers
C0121,31,9,941200.0,3,2,5,325,Regular Customers
C0122,113,7,150260.0,1,1,1,111,Hibernating
C0123,6,13,925785.0,5,4,5,545,Champions
C0124,262,4,254600.0,1,1,1,111,Hibernating
C0125,31,8,338230.0,3,2,2,322,Regular Customers
C0126,41,10,759475.0,3,3,4,334,Regular Customers
C0127,6,13,1523575.0,5,4,5,545,Champions
C0128,20,12,675970.0,4,4,4,444,Champions
C0129,167,9,1044485.0,1,2,5,125,Hibernating
C0130,17,8,227075.0,4,2,1,421,Potential Loyalists
C0131,5,10,550870.0,5,3,3,533,Regular Customers
C0132,93,8,288070.0,1,2,1,121,Hibernating
C0133,13,11,242300.0,4,4,1,441,Loyal Customers
C0134,52,11,192425.0,2,4,1,241,At Risk
C0135,5,13,1013005.0,5,4,5,545,Champions
C0136,7,7,231860.0,5,1,1,511,Potential Loyalists
C0137,17,10,205130.0,4,3,1,431,Regular Customers
C0138,26,11,770345.0,4,4,4,444,Champions
C0139,2,7,293975.0,5,1,1,511,Potential Loyalists
C0140,112,10,365455.0,1,3,2,132,At Risk
C0141,7,5,52660.0,5,1,1,511,Potential Loyalists
C0142,5,13,637415.0,5,4,4,544,Champions
C0143,25,15,1107175.0,4,5,5,455,Champions
C0144,96,9,408725.0,1,2,2,122,Hibernating
C0145,12,13,610540.0,5,4,4,544,Champions
C0146,14,14,545400.0,4,5,3,453,Loyal Customers
C0147,30,12,642330.0,3,4,4,344,Loyal Customers
C0148,11,3,524250.0,5,1,3,513,Potential Loyalists
C0149,312,6,621150.0,1,1,4,114,Hibernating
C0150,45,14,797150.0,3,5,4,354,Loyal Customers
C0151,65,8,461240.0,2,2,3,223,Hibernating
C0152,16,10,586290.0,4,3,3,433,Regular Customers
C0153,190,8,703500.0,1,2,4,124,Hibernating
C0154,9,12,616760.0,5,4,4,544,Champions
C0155,114,8,262635.0,1,2,1,121,Hibernating
C0156,50,13,472235.0,2,4,3,243,At Risk
C0157,40,7,449655.0,3,1,3,313,Regular Customers
C0158,121,8,340990.0,1,2,2,122,Hibernating
C0159,7,22,1382975.0,5,5,5,555,Champions
C0160,44,7,332075.0,3,1,2,312,Regular Customers
C0161,18,13,600950.0,4,4,4,444,Champions
C0162,119,6,628790.0,1,1,4,114,Hibernating
C0163,5,10,904050.0,5,3,5,535,Regular Customers
C0164,4,13,926425.0,5,4,5,545,Champions
C0165,115,11,639625.0,1,4,4,144,At Risk
C0166,89,7,492600.0,1,1,3,113,Hibernating
C0167,56,9,204675.0,2,2,1,221,Hibernating
C0168,92,7,790825.0,1,1,4,114,Hibernating
C0169,12,9,68175.0,5,2,1,521,Potential Loyalists
C0170,105,4,142925.0,1,1,1,111,Hibernating
C0171,127,9,390275.0,1,2,2,122,Hibernating
C0172,16,8,104200.0,4,2,1,421,Potential Loyalists
C0173,157,3,144000.0,1,1,1,111,Hibernating
C0174,90,15,424055.0,1,5,2,152,At Risk
C0175,84,7,642775.0,2,1,4,214,Hibernating
C0176,18,11,876835.0,4,4,5,445,Champions
C0177,117,11,585395.0,1,4,3,143,At Risk
C0178,280,6,484140.0,1,1,3,113,Hibernating
C0179,12,14,714475.0,5,5,4,554,Champions
C0180,1,8,1075160.0,5,2,5,525,Potential Loyalists
C0181,102,9,877280.0,1,2,5,125,Hibernating
C0182,2,11,766815.0,5,4,4,544,Champions
C0183,30,11,242210.0,3,4,1,341,Loyal Customers
C0184,0,20,920310.0,5,5,5,555,Champions
C0185,9,15,604450.0,5,5,4,554,Champions
C0186,25,13,383510.0,4,4,2,442,Loyal Customers
C0187,19,15,667225.0,4,5,4,454,Champions
C0188,26,9,266700.0,4,3,1,431,Regular Customers
C0189,1,10,908455.0,5,3,5,535,Regular Customers
C0190,45,9,944700.0,3,3,5,335,Regular Customers
C0191,26,8,179050.0,4,2,1,421,Potential Loyalists
C0192,67,11,750075.0,2,4,4,244,At Risk
C0193,23,8,597650.0,4,2,4,424,Potential Loyalists
C0194,10,13,858970.0,5,5,5,555,Champions
C0195,7,15,848325.0,5,5,5,555,Champions
C0196,83,8,439625.0,2,2,3,223,Hibernating
C0197,76,8,427940.0,2,2,2,222,Hibernating
C0198,16,11,531320.0,4,4,3,443,Loyal Customers
C0199,68,11,846310.0,2,4,5,245,At Risk
C0200,5,7,339050.0,5,1,2,512,Potential Loyalists
C0201,31,9,191825.0,3,3,1,331,Regular Customers
C0202,119,10,668025.0,1,3,4,134,At Risk
C0203,34,11,788605.0,3,4,4,344,Loyal Customers
C0204,6,10,272930.0,5,3,1,531,Regular Customers
C0205,54,6,353625.0,2,1,2,212,Hibernating
C0206,51,12,385150.0,2,4,2,242,At Risk
C0207,92,7,107175.0,1,1,1,111,Hibernating
C0208,42,12,793650.0,3,4,4,344,Loyal Customers
C0209,24,11,637900.0,4,4,4,444,Champions
C0210,11,8,311160.0,5,2,2,522,Potential Loyalists
C0211,2,6,286775.0,5,1,1,511,Potential Loyalists
C0212,12,12,607890.0,5,4,4,544,Champions
C0213,0,8,783850.0,5,2,4,524,Potential Loyalists
C0214,81,5,59620.0,2,1,1,211,Hibernating
C0215,25,13,1382075.0,4,5,5,455,Champions
C0216,59,7,733000.0,2,1,4,214,Hibernating
C0217,162,6,328090.0,1,1,2,112,Hibernating
C0218,120,5,421000.0,1,1,2,112,Hibernating
C0219,38,14,691000.0,3,5,4,354,Loyal Customers
C0220,17,7,79190.0,4,1,1,411,Potential Loyalists
C0221,37,14,781375.0,3,5,4,354,Loyal Customers
C0222,15,14,741490.0,4,5,4,454,Champions
C0223,64,7,306250.0,2,1,2,212,Hibernating
C0224,0,11,384200.0,5,4,2,542,Loyal Customers
C0225,7,9,440315.0,5,3,3,533,Regular Customers
C0226,51,11,602530.0,2,4,4,244,At Risk
C0227,85,14,549215.0,2,5,3,253,At Risk
C0228,25,11,666065.0,4,4,4,444,Champions
C0229,2,8,482525.0,5,2,3,523,Potential Loyalists
C0230,75,10,648000.0,2,3,4,234,At Risk
C0231,72,12,573875.0,2,4,3,243,At Risk
C0232,22,11,469550.0,4,4,3,443,Loyal Customers
C0233,76,10,788610.0,2,3,4,234,At Risk
C0234,96,11,1169700.0,1,4,5,145,At Risk
C0235,54,9,675910.0,2,3,4,234,At Risk
C0236,179,9,372250.0,1,3,2,132,At Risk
C0237,24,10,868100.0,4,3,5,435,Regular Customers
C0238,74,9,366190.0,2,3,2,232,At Risk
C0239,121,6,530750.0,1,1,3,113,Hibernating
C0240,83,8,758030.0,2,2,4,224,Hibernating
C0241,17,8,221800.0,4,2,1,421,Potential Loyalists
C0242,76,10,415725.0,2,3,2,232,At Risk
C0243,20,7,466300.0,4,1,3,413,Potential Loyalists
C0244,37,13,989695.0,3,5,5,355,Loyal Customers
C0245,62,13,517920.0,2,5,3,253,At Risk
C0246,10,13,626495.0,5,5,4,554,Champions
C0247,76,4,158260.0,2,1,1,211,Hibernating
C0248,57,12,508450.0,2,4,3,243,At Risk
C0249,53,10,265595.0,2,3,1,231,At Risk
C0250,84,8,623105.0,2,2,4,224,Hibernating
C0251,139,9,574425.0,1,3,3,133,At Risk
C0252,58,13,864575.0,2,5,5,255,At Risk
C0253,11,14,681430.0,5,5,4,554,Champions
C0254,61,6,270925.0,2,1,1,211,Hibernating
C0255,63,10,293475.0,2,3,1,231,At Risk
C0256,186,3,35190.0,1,1,1,111,Hibernating
C0257,14,10,656500.0,4,3,4,434,Regular Customers
C0258,14,12,969015.0,4,4,5,445,Champions
C0259,31,9,234325.0,3,3,1,331,Regular Customers
C0260,28,9,261845.0,3,3,1,331,Regular Customers
C0261,30,9,522600.0,3,3,3,333,Regular Customers
C0262,135,6,184525.0,1,1,1,111,Hibernating
C0263,46,11,435170.0,3,4,2,342,Loyal Customers
C0264,0,14,633670.0,5,5,4,554,Champions
C0265,115,6,349150.0,1,1,2,112,Hibernating
C0266,3,13,1049680.0,5,5,5,555,Champions
C0267,68,14,267735.0,2,5,1,251,At Risk
C0268,98,6,536600.0,1,1,3,113,Hibernating
C0269,56,10,477200.0,2,3,3,233,At Risk
C0270,3,7,382600.0,5,1,2,512,Potential Loyalists
C0271,161,10,412070.0,1,3,2,132,At Risk
C0272,18,14,1226655.0,4,5,5,455,Champions
C0273,171,11,343990.0,1,4,2,142,At Risk
C0274,46,15,1105360.0,3,5,5,355,Loyal Customers
C0275,12,15,1266725.0,5,5,5,555,Champions
C0276,187,5,340000.0,1,1,2,112,Hibernating
C0277,223,9,230750.0,1,3,1,131,At Risk
C0278,24,14,464035.0,4,5,3,453,Loyal Customers
C0279,43,12,354310.0,3,4,2,342,Loyal Customers
C0280,5,8,710025.0,5,2,4,524,Potential Loyalists
C0281,46,5,98030.0,3,1,1,311,Regular Customers
C0282,35,13,323935.0,3,5,2,352,Loyal Customers
C0283,40,11,450130.0,3,4,3,343,Loyal Customers
C0284,18,4,580600.0,4,1,3,413,Potential Loyalists
C0285,23,14,615945.0,4,5,4,454,Champions
C0286,56,15,891275.0,2,5,5,255,At Risk
C0287,21,11,558850.0,4,4,3,443,Loyal Customers
C0288,58,9,152500.0,2,3,1,231,At Risk
C0289,27,11,549825.0,3,4,3,343,Loyal Customers
C0290,42,8,363820.0,3,2,2,322,Regular Customers
C0291,114,7,306200.0,1,1,2,112,Hibernating
C0292,20,12,1020630.0,4,4,5,445,Champions
C0293,7,13,443580.0,5,5,3,553,Loyal Customers
C0294,14,9,378230.0,4,3,2,432,Regular Customers
C0295,55,11,371075.0,2,4,2,242,At Risk
C0296,12,11,355745.0,5,4,2,542,Loyal Customers
C0297,34,14,1076100.0,3,5,5,355,Loyal Customers
C0298,10,14,627750.0,5,5,4,554,Champions
C0299,27,8,438500.0,3,2,2,322,Regular Customers
C0300,37,14,1355175.0,3,5,5,355,Loyal Customers
C0301,35,5,694850.0,3,1,4,314,Regular Customers
C0302,22,11,1037275.0,4,4,5,445,Champions
C0303,306,7,421275.0,1,1,2,112,Hibernating
C0304,19,11,825355.0,4,4,5,445,Champions
C0305,56,6,432070.0,2,1,2,212,Hibernating
C0306,209,2,344000.0,1,1,2,112,Hibernating
C0307,6,11,1475130.0,5,4,5,545,Champions
C0308,40,7,281475.0,3,1,1,311,Regular Customers
C0309,56,7,597150.0,2,1,4,214,Hibernating
C0310,261,10,463710.0,1,3,3,133,At Risk
C0311,23,9,394020.0,4,3,2,432,Regular Customers
C0312,59,10,1025950.0,2,3,5,235,At Risk
C0313,91,13,342040.0,1,5,2,152,At Risk
C0314,37,7,637200.0,3,1,4,314,Regular Customers
C0315,136,7,115140.0,1,1,1,111,Hibernating
C0316,49,10,743700.0,2,3,4,234,At Risk
C0317,33,10,393075.0,3,3,2,332,Regular Customers
C0318,13,13,980600.0,4,5,5,455,Champions
C0319,13,12,901250.0,4,4,5,445,Champions
C0320,55,6,391130.0,2,1,2,212,Hibernating
C0321,7,14,576775.0,5,5,3,553,Loyal Customers
C0322,58,7,495850.0,2,1,3,213,Hibernating
C0323,8,12,617575.0,5,4,4,544,Champions
C0324,3,10,355700.0,5,3,2,532,Regular Customers
C0325,31,13,764475.0,3,5,4,354,Loyal Customers
C0326,19,14,1113810.0,4,5,5,455,Champions
C0327,1,10,568430.0,5,3,3,533,Regular Customers
C0328,26,6,228745.0,4,1,1,411,Potential Loyalists
C0329,27,8,231050.0,3,2,1,321,Regular Customers
C0330,142,7,328725.0,1,1,2,112,Hibernating
C0331,76,8,504000.0,2,2,3,223,Hibernating
C0332,41,7,288600.0,3,1,1,311,Regular Customers
C0333,4,8,341955.0,5,2,2,522,Potential Loyalists
C0334,125,9,440950.0,1,3,3,133,At Risk
C0335,26,19,1173135.0,4,5,5,455,Champions
C0336,41,15,807460.0,3,5,5,355,Loyal Customers
C0337,170,10,298475.0,1,3,2,132,At Risk
C0338,108,10,473865.0,1,3,3,133,At Risk
C0339,81,10,873550.0,2,3,5,235,At Risk
C0340,54,6,536125.0,2,1,3,213,Hibernating
C0341,46,11,450125.0,3,4,3,343,Loyal Customers
C0342,65,10,592475.0,2,3,3,233,At Risk
C0343,72,8,127065.0,2,2,1,221,Hibernating
C0344,87,7,238465.0,1,1,1,111,Hibernating
C0345,142,10,180510.0,1,3,1,131,At Risk
C0346,10,11,412625.0,5,4,2,542,Loyal Customers
C0347,32,5,120580.0,3,1,1,311,Regular Customers
C0348,92,6,289825.0,1,1,1,111,Hibernating
C0349,74,10,831620.0,2,3,5,235,At Risk
C0350,9,10,611500.0,5,3,4,534,Regular Customers
C0351,2,17,1022055.0,5,5,5,555,Champions
C0352,121,9,504200.0,1,3,3,133,At Risk
C0353,20,10,812905.0,4,3,5,435,Regular Customers
C0354,23,14,573030.0,4,5,3,453,Loyal Customers
C0355,83,13,732450.0,2,5,4,254,At Risk
C0356,145,9,127550.0,1,3,1,131,At Risk
C0357,183,5,236075.0,1,1,1,111,Hibernating
C0358,96,10,324075.0,1,3,2,132,At Risk
C0359,5,16,666145.0,5,5,4,554,Champions
C0360,13,10,593790.0,4,3,4,434,Regular Customers
C0361,43,10,526730.0,3,3,3,333,Regular Customers
C0362,15,9,397950.0,4,3,2,432,Regular Customers
C0363,90,7,278410.0,1,1,1,111,Hibernating
C0364,48,9,637125.0,2,3,4,234,At Risk
C0365,42,13,302865.0,3,5,2,352,Loyal Customers
C0366,158,12,323670.0,1,4,2,142,At Risk
C0367,86,8,521450.0,1,2,3,123,Hibernating
C0368,15,14,244880.0,4,5,1,451,Loyal Customers
C0369,27,10,560080.0,3,3,3,333,Regular Customers
C0370,50,9,689500.0,2,3,4,234,At Risk
C0371,16,8,297260.0,4,2,1,421,Potential Loyalists
C0372,128,9,687600.0,1,3,4,134,At Risk
C0373,83,8,256600.0,2,2,1,221,Hibernating
C0374,17,19,1210735.0,4,5,5,455,Champions
C0375,5,8,577975.0,5,2,3,523,Potential Loyalists
C0376,2,8,283310.0,5,2,1,521,Potential Loyalists
C0377,32,9,485900.0,3,3,3,333,Regular Customers
C0378,3,13,1062230.0,5,5,5,555,Champions
C0379,1,4,47050.0,5,1,1,511,Potential Loyalists
C0380,10,9,475760.0,5,3,3,533,Regular Customers
C0381,44,8,549850.0,3,2,3,323,Regular Customers
C0382,24,8,318280.0,4,2,2,422,Potential Loyalists
C0383,40,13,732250.0,3,5,4,354,Loyal Customers
C0384,1,11,531575.0,5,4,3,543,Loyal Customers
C0385,20,7,107650.0,4,1,1,411,Potential Loyalists
C0386,69,7,332250.0,2,2,2,222,Hibernating
C0387,117,7,428950.0,1,2,2,122,Hibernating
C0388,62,8,737250.0,2,2,4,224,Hibernating
C0389,121,10,539450.0,1,3,3,133,At Risk
C0390,17,20,801785.0,4,5,4,454,Champions
C0391,158,10,472675.0,1,3,3,133,At Risk
C0392,21,11,632210.0,4,4,4,444,Champions
C0393,167,7,718400.0,1,2,4,124,Hibernating
C0394,111,9,468075.0,1,3,3,133,At Risk
C0395,19,10,627275.0,4,3,4,434,Regular Customers
C0396,49,6,108625.0,2,1,1,211,Hibernating
C0397,47,7,237500.0,3,2,1,321,Regular Customers
C0398,31,9,870750.0,3,3,5,335,Regular Customers
C0399,63,9,249560.0,2,3,1,231,At Risk
C0400,10,7,242775.0,5,2,1,521,Potential Loyalists
C0401,29,7,231985.0,3,2,1,321,Regular Customers
C0402,2,9,853770.0,5,3,5,535,Regular Customers
C0403,2,15,515870.0,5,5,3,553,Loyal Customers
C0404,165,7,456750.0,1,2,3,123,Hibernating
C0405,39,16,795650.0,3,5,4,354,Loyal Customers
C0406,37,13,995625.0,3,5,5,355,Loyal Customers
C0407,55,8,182625.0,2,2,1,221,Hibernating
C0408,44,14,923915.0,3,5,5,355,Loyal Customers
C0409,290,6,341315.0,1,1,2,112,Hibernating
C0410,94,15,1526130.0,1,5,5,155,At Risk
C0411,47,13,882955.0,3,5,5,355,Loyal Customers
C0412,6,10,424530.0,5,3,2,532,Regular Customers
C0413,116,11,607620.0,1,4,4,144,At Risk
C0414,31,13,453890.0,3,5,3,353,Loyal Customers
C0415,116,11,1032750.0,1,4,5,145,At Risk
C0416,0,17,453995.0,5,5,3,553,Loyal Customers
C0417,29,11,1033830.0,3,4,5,345,Loyal Customers
C0418,20,10,597785.0,4,3,4,434,Regular Customers
C0419,79,7,896000.0,2,2,5,225,Hibernating
C0420,52,7,284175.0,2,2,1,221,Hibernating
C0421,18,7,771250.0,4,2,4,424,Potential Loyalists
C0422,50,13,668325.0,2,5,4,254,At Risk
C0423,45,16,521595.0,3,5,3,353,Loyal Customers
C0424,31,9,404725.0,3,3,2,332,Regular Customers
C0425,244,13,727750.0,1,5,4,154,At Risk
C0426,8,9,226200.0,5,3,1,531,Regular Customers
C0427,51,8,740050.0,2,2,4,224,Hibernating
C0428,51,14,835775.0,2,5,5,255,At Risk
C0429,26,8,508000.0,4,2,3,423,Potential Loyalists
C0430,85,11,563575.0,2,4,3,243,At Risk
C0431,6,11,703510.0,5,4,4,544,Champions
C0432,32,14,932425.0,3,5,5,355,Loyal Customers
C0433,62,7,368175.0,2,2,2,222,Hibernating
C0434,116,8,369615.0,1,2,2,122,Hibernating
C0435,86,6,104440.0,1,1,1,111,Hibernating
C0436,4,12,1044475.0,5,4,5,545,Champions
C0437,45,15,1042310.0,3,5,5,355,Loyal Customers
C0438,11,10,549655.0,5,3,3,533,Regular Customers
C0439,3,11,875035.0,5,4,5,545,Champions
C0440,6,7,437800.0,5,2,2,522,Potential Loyalists
C0441,48,13,836075.0,2,5,5,255,At Risk
C0442,115,10,959250.0,1,3,5,135,At Risk
C0443,56,13,1212950.0,2,5,5,255,At Risk
C0444,14,12,339430.0,4,4,2,442,Loyal Customers
C0445,38,10,746175.0,3,3,4,334,Regular Customers
C0446,42,9,198910.0,3,3,1,331,Regular Customers
C0447,3,13,283845.0,5,5,1,551,Loyal Customers
C0448,38,9,979150.0,3,3,5,335,Regular Customers
C0449,135,4,173500.0,1,1,1,111,Hibernating
C0450,5,11,451425.0,5,4,3,543,Loyal Customers
C0451,74,6,687500.0,2,1,4,214,Hibernating
C0452,25,12,483645.0,4,4,3,443,Loyal Customers
C0453,14,10,437150.0,4,3,2,432,Regular Customers
C0454,11,16,624775.0,5,5,4,554,Champions
C0455,10,12,680700.0,5,4,4,544,Champions
C0456,8,20,1319975.0,5,5,5,555,Champions
C0457,44,13,722890.0,3,5,4,354,Loyal Customers
C0458,4,15,1078620.0,5,5,5,555,Champions
C0459,1,10,299370.0,5,3,2,532,Regular Customers
C0460,18,9,398610.0,4,3,2,432,Regular Customers
C0461,0,13,357605.0,5,5,2,552,Loyal Customers
C0462,124,9,568275.0,1,3,3,133,At Risk
C0463,39,11,187375.0,3,4,1,341,Loyal Customers
C0464,26,9,226700.0,4,3,1,431,Regular Customers
C0465,110,7,181375.0,1,2,1,121,Hibernating
C0466,21,14,137300.0,4,5,1,451,Loyal Customers
C0467,39,16,1060770.0,3,5,5,355,Loyal Customers
C0468,42,7,388475.0,3,2,2,322,Regular Customers
C0469,27,10,416615.0,3,3,2,332,Regular Customers
C0470,36,11,530550.0,3,4,3,343,Loyal Customers
C0471,66,10,264640.0,2,3,1,231,At Risk
C0472,42,6,39975.0,3,1,1,311,Regular Customers
C0473,1,12,600050.0,5,4,4,544,Champions
C0474,24,13,408305.0,4,5,2,452,Loyal Customers
C0475,83,8,185475.0,2,2,1,221,Hibernating
C0476,29,13,634880.0,3,5,4,354,Loyal Customers
C0477,53,9,520280.0,2,3,3,233,At Risk
C0478,66,9,780460.0,2,3,4,234,At Risk
C0479,49,21,946495.0,2,5,5,255,At Risk
C0480,109,7,507780.0,1,2,3,123,Hibernating
C0481,100,10,641300.0,1,3,4,134,At Risk
C0482,46,16,1118325.0,3,5,5,355,Loyal Customers
C0483,65,9,241690.0,2,3,1,231,At Risk
C0484,105,8,239125.0,1,2,1,121,Hibernating
C0485,27,5,550250.0,3,1,3,313,Regular Customers
C0486,13,10,486535.0,4,3,3,433,Regular Customers
C0487,36,5,84200.0,3,1,1,311,Regular Customers
C0488,46,10,538300.0,3,4,3,343,Loyal Customers
C0489,7,10,318400.0,5,4,2,542,Loyal Customers
C0490,8,10,419905.0,5,4,2,542,Loyal Customers
C0491,103,9,832500.0,1,3,5,135,At Risk
C0492,13,16,941000.0,4,5,5,455,Champions
C0493,64,8,657500.0,2,2,4,224,Hibernating
C0494,82,8,555225.0,2,2,3,223,Hibernating
C0495,81,13,855550.0,2,5,5,255,At Risk
C0496,0,11,396680.0,5,4,2,542,Loyal Customers
C0497,214,7,542290.0,1,2,3,123,Hibernating
C0498,93,9,287920.0,1,3,1,131,At Risk
C0499,9,4,181700.0,5,1,1,511,Potential Loyalists
C0500,35,9,848875.0,3,3,5,335,Regular Customers
